Dates,CCI Values
2020-08-07,48.2492
2020-08-06,69.5528
2020-08-05,45.2231
2020-08-04,-40.4808
2020-08-03,-107.1796
2020-07-31,-148.4835
2020-07-30,-163.2621
2020-07-29,-151.7682
2020-07-28,-126.1887
2020-07-27,-174.0985
2020-07-24,-82.2655
2020-07-23,-17.5634
2020-07-22,27.6761
2020-07-21,28.1077
2020-07-20,-118.6455
2020-07-17,-52.9036
2020-07-16,-2.2053
2020-07-15,110.8905
2020-07-14,-47.0022
2020-07-13,-68.0011
2020-07-10,-74.3495
2020-07-09,-71.3693
2020-07-08,-29.7054
2020-07-07,-12.9046
2020-07-06,58.0360
2020-07-02,5.1893
2020-07-01,0.8922
2020-06-30,-5.5165
2020-06-29,22.3029
2020-06-26,-151.4129
2020-06-25,-176.0621
2020-06-24,-112.7558
2020-06-23,-34.2276
2020-06-22,-54.1768
2020-06-19,-41.9683
2020-06-18,-36.3163
2020-06-17,-24.7772
2020-06-16,15.9654
2020-06-15,-15.8784
2020-06-12,-5.4802
2020-06-11,-20.2279
2020-06-10,57.3683
2020-06-09,106.8385
2020-06-08,174.2213
2020-06-05,197.9856
2020-06-04,217.2670
2020-06-03,199.0214
2020-06-02,106.4141
2020-06-01,86.2270
2020-05-29,75.4760
2020-05-28,128.1535
2020-05-27,122.0157
2020-05-26,128.8109
2020-05-22,99.6994
2020-05-21,133.8606
2020-05-20,83.0841
2020-05-19,86.9304
2020-05-18,100.2512
2020-05-15,-106.6164
2020-05-14,-144.5731
2020-05-13,-124.2343
2020-05-12,-50.5311
2020-05-11,-38.8808
2020-05-08,25.0919
2020-05-07,-65.0968
2020-05-06,-128.8072
2020-05-05,-92.7628
2020-05-04,-101.7061
2020-05-01,-1.6979
2020-04-30,15.6669
2020-04-29,34.6040
2020-04-28,-79.3952
2020-04-27,-145.6214
2020-04-24,-128.7900
2020-04-23,-65.2452
2020-04-22,-106.7696
2020-04-21,-123.2684
2020-04-20,-8.5792
2020-04-17,74.4841
2020-04-16,-44.7078
2020-04-15,6.5407
2020-04-14,13.3546
2020-04-13,51.4092
2020-04-09,59.9670
2020-04-08,7.8200
2020-04-07,4.3045
2020-04-06,-13.7009
2020-04-03,-56.4135
2020-04-02,-38.8539
2020-04-01,-2.9704
2020-03-31,48.9203
2020-03-30,49.7832
2020-03-27,95.2687
2020-03-26,128.6943
2020-03-25,84.4288
2020-03-24,-17.9163
2020-03-23,-63.8483
2020-03-20,-84.1652
2020-03-19,-104.3155
2020-03-18,-119.4733
2020-03-17,-121.4147
2020-03-16,-132.7847
2020-03-13,-118.0888
2020-03-12,-164.3073
2020-03-11,-161.2583
2020-03-10,-142.1784
2020-03-09,-187.2978
2020-03-06,-129.0290
2020-03-05,-114.4042
2020-03-04,-73.3099
2020-03-03,-79.6825
2020-03-02,-96.9089
2020-02-28,-156.5420
2020-02-27,-152.6119
2020-02-26,-133.3372
2020-02-25,-189.4979
2020-02-24,-249.8811
2020-02-21,-162.6272
2020-02-20,-52.3579
2020-02-19,-0.5943
2020-02-18,19.4994
2020-02-14,49.8807
2020-02-13,79.0823
2020-02-12,102.9544
2020-02-11,114.6520
2020-02-10,138.3239
2020-02-07,156.2199
2020-02-06,237.6029
2020-02-05,160.7240
2020-02-04,-2.9271
2020-02-03,-3.8910
2020-01-31,12.7640
2020-01-30,33.0685
2020-01-29,26.0893
2020-01-28,-44.3441
2020-01-27,-46.8109
2020-01-24,-32.1423
2020-01-23,-95.2596
2020-01-22,-196.8142
2020-01-21,-264.1484
2020-01-17,-196.2312
2020-01-16,-58.6353
2020-01-15,-79.9855
2020-01-14,-10.5757
2020-01-13,-11.1363
2020-01-10,14.7967
2020-01-09,137.2367
2020-01-08,4.5793
2020-01-07,123.3686
2020-01-06,21.4391
2020-01-03,31.2627
2020-01-02,2.6913
2019-12-31,-135.1558
2019-12-30,-105.0136
2019-12-27,-36.4971
2019-12-26,-48.2471
2019-12-24,-9.7172
2019-12-23,0.6989
2019-12-20,-64.3753
2019-12-19,-60.4097
2019-12-18,-92.4538
2019-12-17,-184.1809
2019-12-16,-267.1265
2019-12-13,-116.7752
2019-12-12,-90.0433
2019-12-11,-85.0550
2019-12-10,-67.6276
2019-12-09,-60.3476
2019-12-06,-69.2202
2019-12-05,-123.3093
2019-12-04,-141.2747
2019-12-03,-222.1141
2019-12-02,-242.9715
2019-11-29,-112.9976
2019-11-27,-32.3503
2019-11-26,108.6847
2019-11-25,100.4752
2019-11-22,74.5392
2019-11-21,39.1681
2019-11-20,68.8445
2019-11-19,64.0434
2019-11-18,114.9829
2019-11-15,141.7557
2019-11-14,107.8900
2019-11-13,100.6636
2019-11-12,116.3679
2019-11-11,116.9859
2019-11-08,60.4774
2019-11-07,126.3896
2019-11-06,129.9180
2019-11-05,222.7355
2019-11-04,171.1114
2019-11-01,42.9909
2019-10-31,-6.7991
2019-10-30,12.9168
2019-10-29,-11.2362
2019-10-28,-42.7134
2019-10-25,-56.8639
2019-10-24,-59.8277
2019-10-23,-74.8766
2019-10-22,-122.3970
2019-10-21,-240.2060
2019-10-18,-321.5823
2019-10-17,-137.4627
2019-10-16,-15.5179
2019-10-15,-37.9407
2019-10-14,40.5749
2019-10-11,-0.9255
