Dates,OBV Values
2010-06-28,82182900.0000
2010-06-25,87699900.0000
2010-06-24,74374400.0000
2010-06-23,82143100.0000
2010-06-22,76044500.0000
2010-06-21,80232700.0000
2010-06-18,76123200.0000
2010-06-17,69909500.0000
2010-06-16,66272400.0000
2010-06-15,70724100.0000
2010-06-14,64323500.0000
2010-06-11,70323600.0000
2010-06-10,61861800.0000
2010-06-09,56178900.0000
2010-06-08,48452000.0000
2010-06-07,41260800.0000
2010-06-04,47179200.0000
2010-06-03,55408000.0000
2010-06-02,59183600.0000
2010-06-01,54595700.0000
2010-05-28,60914200.0000
2010-05-27,66689800.0000
2010-05-26,59246400.0000
2010-05-25,51860300.0000
2010-05-24,58763500.0000
2010-05-21,64924000.0000
2010-05-20,54041400.0000
2010-05-19,64941200.0000
2010-05-18,74915200.0000
2010-05-17,83796700.0000
2010-05-14,88610300.0000
2010-05-13,96563100.0000
2010-05-12,100516000.0000
2010-05-11,94185900.0000
2010-05-10,87635600.0000
2010-05-07,78793900.0000
2010-05-06,87720000.0000
2010-05-05,101489700.0000
2010-05-04,106998900.0000
2010-05-03,106998900.0000
2010-04-30,101591200.0000
2010-04-29,107192100.0000
2010-04-28,101990100.0000
2010-04-27,107689600.0000
2010-04-26,113737900.0000
2010-04-23,117761800.0000
2010-04-22,122960000.0000
2010-04-21,113871100.0000
2010-04-20,101835400.0000
2010-04-19,97075800.0000
2010-04-16,92872700.0000
2010-04-15,100944000.0000
2010-04-14,98000300.0000
2010-04-13,94504400.0000
2010-04-12,99583700.0000
2010-04-09,103249800.0000
2010-04-08,99904100.0000
2010-04-07,96162600.0000
2010-04-06,102879800.0000
2010-04-05,97686000.0000
2010-04-01,107012300.0000
2010-03-31,102601300.0000
2010-03-30,108485900.0000
2010-03-29,112867200.0000
2010-03-26,103803000.0000
2010-03-25,98869300.0000
2010-03-24,93438300.0000
2010-03-23,85738300.0000
2010-03-22,80752900.0000
2010-03-19,71739300.0000
2010-03-18,89461800.0000
2010-03-17,82028100.0000
2010-03-16,76023800.0000
2010-03-15,83518200.0000
2010-03-12,91227200.0000
2010-03-11,96529300.0000
2010-03-10,89239800.0000
2010-03-09,78623300.0000
2010-03-08,70967400.0000
2010-03-05,76043000.0000
2010-03-04,67537400.0000
2010-03-03,59818700.0000
2010-03-02,55529300.0000
2010-03-01,51146100.0000
2010-02-26,45880500.0000
2010-02-25,41464500.0000
2010-02-24,46507600.0000
2010-02-23,43107200.0000
2010-02-22,49591000.0000
2010-02-19,43556900.0000
2010-02-18,36185800.0000
2010-02-17,31795500.0000
2010-02-16,27679300.0000
2010-02-12,23410600.0000
2010-02-11,28588900.0000
2010-02-10,24193100.0000
2010-02-09,28430200.0000
2010-02-08,20179300.0000
2010-02-05,24903800.0000
