Dates,STOCH Values
2019-09-23,4.4407
2019-09-20,12.9929
2019-09-19,8.4963
2019-09-18,27.7307
2019-09-17,26.0416
2019-09-16,50.6202
2019-09-13,48.6542
2019-09-12,71.8420
2019-09-11,77.1649
2019-09-10,86.6614
2019-09-09,89.7070
2019-09-06,90.0335
2019-09-05,93.1122
2019-09-04,87.8337
2019-09-03,87.2814
2019-08-30,78.9471
2019-08-29,83.1075
2019-08-28,68.2677
2019-08-27,66.4525
2019-08-26,53.4943
2019-08-23,55.2432
2019-08-22,44.0526
2019-08-21,38.7873
2019-08-20,40.4127
2019-08-19,38.1273
2019-08-16,46.7371
2019-08-15,44.3234
2019-08-14,54.7544
2019-08-13,57.7607
2019-08-12,64.2515
2019-08-09,62.1791
2019-08-08,70.9563
2019-08-07,72.8146
2019-08-06,79.8116
2019-08-05,77.8753
2019-08-02,83.1795
2019-08-01,88.7450
2019-07-31,80.8282
2019-07-30,82.9182
2019-07-29,66.4169
2019-07-26,70.8215
2019-07-25,45.2639
2019-07-24,45.5111
2019-07-23,23.8975
2019-07-22,19.4593
2019-07-19,10.2494
2019-07-18,6.7220
2019-07-17,6.5061
2019-07-16,4.5669
2019-07-15,15.1431
2019-07-12,8.2295
2019-07-11,34.8912
2019-07-10,32.6330
2019-07-09,59.4045
2019-07-08,63.8109
2019-07-05,67.7994
2019-07-03,81.7695
2019-07-02,58.0295
2019-07-01,57.8176
2019-06-28,37.8078
2019-06-27,34.5012
2019-06-26,27.0467
2019-06-25,21.1045
2019-06-24,23.9402
2019-06-21,25.5344
2019-06-20,22.2940
2019-06-19,25.1817
2019-06-18,17.3477
2019-06-17,16.1659
2019-06-14,18.1318
2019-06-13,10.6954
2019-06-12,32.8391
2019-06-11,27.5340
2019-06-10,56.2745
2019-06-07,60.2878
2019-06-06,74.5219
2019-06-05,81.0018
2019-06-04,79.1542
2019-06-03,82.2763
2019-05-31,70.3682
2019-05-30,74.1846
2019-05-29,54.0383
2019-05-28,54.6437
2019-05-24,32.7068
2019-05-23,33.2866
2019-05-22,18.8177
2019-05-21,10.1903
2019-05-20,11.2152
2019-05-17,12.9764
2019-05-16,12.3055
2019-05-15,10.4789
2019-05-14,10.8220
2019-05-13,13.4613
2019-05-10,9.6790
2019-05-09,8.5258
2019-05-08,10.7487
2019-05-07,7.0499
2019-05-06,17.5722
2019-05-03,16.6704
2019-05-02,28.5705
2019-05-01,28.9964
2019-04-30,35.7948
2019-04-29,40.0448
2019-04-26,43.6793
2019-04-25,38.3432
2019-04-24,54.4948
2019-04-23,52.6499
2019-04-22,69.6661
2019-04-18,72.4911
2019-04-17,80.7380
2019-04-16,83.8572
2019-04-15,84.4740
2019-04-12,85.8655
2019-04-11,86.0840
2019-04-10,83.6993
2019-04-09,87.3735
2019-04-08,88.6873
2019-04-05,89.6968
2019-04-04,89.7340
2019-04-03,87.5162
2019-04-02,90.6692
2019-04-01,79.0270
2019-03-29,82.1454
2019-03-28,67.2821
2019-03-27,64.2664
2019-03-26,60.4972
2019-03-25,55.4344
2019-03-22,59.9069
2019-03-21,61.7907
2019-03-20,56.9201
2019-03-19,62.4956
2019-03-18,42.9448
2019-03-15,46.4742
2019-03-14,27.2335
