Dates,HT_SINE Values
2019-05-09,-0.0878
2019-05-08,-0.7664
2019-05-07,0.0683
2019-05-06,-0.6571
2019-05-03,0.2262
2019-05-02,-0.5288
2019-05-01,0.4548
2019-04-30,-0.3082
2019-04-29,0.5997
2019-04-26,-0.1418
2019-04-25,0.7326
2019-04-24,0.0367
2019-04-23,0.8899
2019-04-22,0.3068
2019-04-18,0.9383
2019-04-17,0.4189
2019-04-16,0.9743
2019-04-15,0.5296
2019-04-12,0.9970
2019-04-11,0.6505
2019-04-10,0.9806
2019-04-09,0.8321
2019-04-08,0.8247
2019-04-05,0.9831
2019-04-04,0.6738
2019-04-03,0.9989
2019-04-02,0.5178
2019-04-01,0.9711
2019-03-29,0.4496
2019-03-28,0.9495
2019-03-27,0.3200
2019-03-26,0.8962
2019-03-25,0.2222
2019-03-22,0.8466
2019-03-21,0.1695
2019-03-20,0.8167
2019-03-19,0.1141
2019-03-18,0.7831
2019-03-15,-0.0679
2019-03-14,0.6575
2019-03-13,-0.1860
2019-03-12,0.5632
2019-03-11,-0.0138
2019-03-08,0.6973
2019-03-07,0.4149
2019-03-06,0.9367
2019-03-05,0.5136
2019-03-04,0.9699
2019-03-01,0.5019
2019-02-28,0.9665
2019-02-27,0.4511
2019-02-26,0.9500
2019-02-25,0.4116
2019-02-22,0.9355
2019-02-21,0.3910
2019-02-20,0.9273
2019-02-19,0.3984
2019-02-15,0.9303
