Dates,MAMA Values
2020-04-09,233.6655
2020-04-08,222.2538
2020-04-07,233.7240
2020-04-06,222.3715
2020-04-03,233.7816
2020-04-02,222.5052
2020-04-01,233.8390
2020-03-31,222.6325
2020-03-30,233.8959
2020-03-27,222.7184
2020-03-26,233.9525
2020-03-25,222.6727
2020-03-24,234.0090
2020-03-23,222.6328
2020-03-20,234.0659
2020-03-19,222.6008
2020-03-18,234.1234
2020-03-17,222.4948
2020-03-16,234.1813
2020-03-13,222.5103
2020-03-12,234.2400
2020-03-11,222.5420
2020-03-10,234.2990
2020-03-09,222.5828
2020-03-06,234.3580
2020-03-05,222.6009
2020-03-04,234.4172
2020-03-03,222.6001
2020-03-02,234.4766
2020-02-28,222.5813
2020-02-27,234.5363
2020-02-26,222.6778
2020-02-25,234.5963
2020-02-24,222.7717
2020-02-21,234.6562
2020-02-20,222.8727
2020-02-19,234.7160
2020-02-18,222.9565
2020-02-14,234.7755
2020-02-13,223.1174
2020-02-12,234.8349
2020-02-11,223.2716
2020-02-10,234.8937
2020-02-07,223.4399
2020-02-06,234.9521
2020-02-05,223.5776
2020-02-04,235.0100
2020-02-03,223.6857
2020-01-31,235.0674
2020-01-30,223.7940
2020-01-29,235.1246
2020-01-28,223.8895
2020-01-27,235.1816
2020-01-24,223.9674
2020-01-23,235.2383
2020-01-22,224.0482
2020-01-21,235.2950
2020-01-17,224.1196
2020-01-16,235.3515
2020-01-15,224.1911
2020-01-14,235.4079
2020-01-13,224.2593
2020-01-10,235.4643
2020-01-09,224.2844
2020-01-08,235.5206
2020-01-07,224.2916
2020-01-06,235.5771
2020-01-03,224.2698
2020-01-02,235.6338
2019-12-31,224.2484
2019-12-30,235.6909
2019-12-27,224.2258
2019-12-26,235.7484
2019-12-24,224.2181
2019-12-23,235.8063
2019-12-20,224.2161
2019-12-19,235.8645
2019-12-18,224.2204
2019-12-17,235.9230
2019-12-16,224.2024
2019-12-13,235.9818
2019-12-12,224.2454
2019-12-11,236.0410
2019-12-10,224.2342
2019-12-09,236.1003
2019-12-06,224.2930
2019-12-05,236.1599
2019-12-04,224.2944
2019-12-03,236.2196
2019-12-02,224.3237
2019-11-29,236.2795
2019-11-27,224.3563
2019-11-26,236.3396
2019-11-25,224.4308
2019-11-22,236.3998
2019-11-21,224.5916
2019-11-20,236.4599
2019-11-19,224.7440
2019-11-18,236.5196
2019-11-15,224.8590
2019-11-14,236.5788
2019-11-13,224.9752
2019-11-12,236.6376
2019-11-11,225.0838
2019-11-08,236.6963
2019-11-07,225.2203
2019-11-06,236.7546
2019-11-05,225.3288
2019-11-04,236.8126
2019-11-01,225.4806
2019-10-31,236.8703
2019-10-30,225.5972
2019-10-29,236.9275
2019-10-28,225.7408
2019-10-25,236.9844
2019-10-24,225.8569
2019-10-23,237.0409
2019-10-22,225.9346
2019-10-21,237.0971
2019-10-18,225.9861
2019-10-17,237.1532
2019-10-16,226.0656
2019-10-15,237.2094
2019-10-14,226.1319
2019-10-11,237.2654
2019-10-10,226.2175
2019-10-09,237.3213
2019-10-08,226.2626
2019-10-07,237.3771
2019-10-04,226.3612
2019-10-03,237.4330
2019-10-02,226.4151
2019-10-01,237.4886
2019-09-30,226.4654
2019-09-27,237.5442
2019-09-26,226.5368
2019-09-25,237.5999
2019-09-24,226.6769
2019-09-23,237.6555
2019-09-20,226.8235
2019-09-19,237.7107
2019-09-18,226.9025
2019-09-17,237.7654
2019-09-16,226.9498
2019-09-13,237.8200
2019-09-12,226.9285
2019-09-11,237.8746
2019-09-10,226.8524
2019-09-09,237.9296
2019-09-06,226.7380
2019-09-05,237.9853
2019-09-04,226.6092
2019-09-03,238.0418
2019-08-30,226.5166
2019-08-29,238.0992
2019-08-28,226.4585
2019-08-27,238.1574
2019-08-26,226.4093
2019-08-23,238.2162
2019-08-22,226.3736
2019-08-21,238.2756
2019-08-20,226.3710
