Dates,NATR Values
2020-09-09,4.5224
2020-09-08,4.5975
2020-09-04,4.1253
2020-09-03,4.0642
2020-09-02,3.5513
2020-09-01,3.7781
2020-08-31,3.8012
2020-08-28,3.8688
2020-08-27,4.0377
2020-08-26,3.9382
2020-08-25,4.0899
2020-08-24,3.9437
2020-08-21,3.9492
2020-08-20,4.1498
2020-08-19,4.2924
2020-08-18,4.4155
2020-08-17,4.5822
2020-08-14,4.4884
2020-08-13,4.6300
2020-08-12,4.6778
2020-08-11,4.3862
2020-08-10,4.2391
2020-08-07,4.3318
2020-08-06,4.5263
2020-08-05,4.6523
2020-08-04,4.7906
2020-08-03,5.0635
2020-07-31,5.0630
2020-07-30,4.9984
2020-07-29,5.0586
2020-07-28,4.7619
2020-07-27,4.9509
2020-07-24,5.0600
2020-07-23,5.0642
2020-07-22,5.0848
2020-07-21,5.2162
2020-07-20,5.4114
2020-07-17,5.6572
2020-07-16,5.8337
2020-07-15,5.5365
2020-07-14,5.8336
2020-07-13,6.1418
2020-07-10,6.1639
2020-07-09,6.4384
2020-07-08,6.3938
2020-07-07,6.7748
2020-07-06,6.6183
2020-07-02,7.1170
2020-07-01,7.4690
2020-06-30,7.5233
2020-06-29,7.0721
2020-06-26,7.3888
2020-06-25,7.5186
2020-06-24,7.7711
2020-06-23,7.4218
2020-06-22,7.8312
2020-06-19,8.3672
2020-06-18,8.2684
2020-06-17,8.5499
2020-06-16,8.8824
2020-06-15,9.2121
2020-06-12,9.2963
2020-06-11,10.1225
2020-06-10,7.3569
2020-06-09,6.6802
2020-06-08,6.1396
2020-06-05,6.0982
2020-06-04,5.4733
2020-06-03,5.4819
2020-06-02,5.3961
2020-06-01,5.7444
2020-05-29,5.9394
2020-05-28,5.7526
2020-05-27,5.8361
2020-05-26,6.0535
2020-05-22,6.4012
2020-05-21,6.6133
2020-05-20,6.7512
2020-05-19,7.2402
2020-05-18,7.1931
2020-05-15,7.5206
2020-05-14,7.7545
2020-05-13,7.8910
2020-05-12,7.9847
2020-05-11,7.9352
2020-05-08,8.0605
2020-05-07,8.6936
2020-05-06,9.3908
2020-05-05,9.6533
2020-05-04,9.4877
2020-05-01,9.6395
2020-04-30,9.2730
2020-04-29,9.4667
2020-04-28,9.7916
2020-04-27,10.2842
2020-04-24,10.7654
2020-04-23,10.4418
2020-04-22,11.2301
2020-04-21,11.8399
2020-04-20,11.8573
2020-04-17,11.4561
2020-04-16,12.9672
2020-04-15,12.3374
2020-04-14,12.9483
2020-04-13,12.8337
2020-04-09,13.1234
2020-04-08,14.2345
2020-04-07,15.4324
2020-04-06,14.4856
2020-04-03,16.9836
2020-04-02,18.2697
2020-04-01,17.7294
2020-03-31,15.8377
2020-03-30,16.3853
2020-03-27,15.6513
2020-03-26,14.0645
2020-03-25,15.8329
2020-03-24,17.7724
2020-03-23,21.5213
2020-03-20,24.1353
2020-03-19,24.6295
2020-03-18,24.8018
2020-03-17,19.4731
2020-03-16,17.8338
2020-03-13,12.3844
2020-03-12,13.4434
2020-03-11,10.1733
2020-03-10,7.1351
2020-03-09,6.9453
2020-03-06,5.0749
2020-03-05,5.0629
2020-03-04,4.2523
2020-03-03,4.4145
2020-03-02,4.0147
2020-02-28,3.9868
2020-02-27,3.5338
2020-02-26,2.9229
2020-02-25,2.8555
2020-02-24,2.4409
2020-02-21,2.1371
2020-02-20,2.1330
2020-02-19,2.1637
2020-02-18,2.2160
2020-02-14,2.3073
2020-02-13,2.3356
2020-02-12,2.4066
2020-02-11,2.5192
2020-02-10,2.6044
2020-02-07,2.6445
2020-02-06,2.7112
2020-02-05,2.5216
2020-02-04,2.4938
2020-02-03,2.6314
2020-01-31,2.6984
2020-01-30,2.7347
2020-01-29,2.7844
2020-01-28,2.7746
2020-01-27,2.8946
2020-01-24,2.8607
2020-01-23,2.7525
2020-01-22,2.7689
2020-01-21,2.6560
2020-01-17,2.1383
2020-01-16,2.0018
2020-01-15,2.1191
2020-01-14,2.2221
2020-01-13,2.2471
2020-01-10,2.3583
2020-01-09,2.2979
2020-01-08,2.2441
2020-01-07,2.1968
