Dates,HT_DCPHASE Values
2019-07-26,202.9091
2019-07-25,175.4160
2019-07-24,150.6384
2019-07-23,130.4186
2019-07-22,110.5522
2019-07-19,90.5790
2019-07-18,71.3262
2019-07-17,54.5642
2019-07-16,37.2084
2019-07-15,18.7689
2019-07-12,-1.8347
2019-07-11,-41.3623
2019-07-10,298.0732
2019-07-09,278.8333
2019-07-08,259.8800
2019-07-05,240.9265
2019-07-03,223.3234
2019-07-02,207.6181
2019-07-01,193.0109
2019-06-28,183.2396
2019-06-27,176.6296
2019-06-26,171.3524
2019-06-25,167.2134
2019-06-24,162.1973
2019-06-21,158.6998
2019-06-20,153.7526
2019-06-19,149.8570
2019-06-18,140.6404
2019-06-17,108.7260
2019-06-14,87.7957
2019-06-13,71.2838
2019-06-12,53.4252
2019-06-11,20.0679
2019-06-10,-11.1492
2019-06-07,-40.1696
2019-06-06,292.2008
2019-06-05,273.6376
2019-06-04,153.6483
2019-06-03,96.6507
2019-05-31,73.3000
2019-05-30,64.3744
2019-05-29,55.0445
2019-05-28,46.2423
2019-05-24,42.2788
2019-05-23,37.6390
2019-05-22,27.5488
2019-05-21,16.4417
2019-05-20,9.3260
2019-05-17,-2.1510
2019-05-16,-8.9208
2019-05-15,-18.9536
2019-05-14,-24.0403
2019-05-13,-33.7659
2019-05-10,-40.3748
2019-05-09,310.6271
2019-05-08,298.5146
2019-05-07,280.3132
2019-05-06,258.0756
2019-05-03,225.1595
2019-05-02,184.0391
2019-05-01,135.0296
2019-04-30,92.0011
2019-04-29,63.6150
2019-04-26,42.8714
2019-04-25,0.1419
2019-04-24,-42.7226
2019-04-23,297.6438
2019-04-22,269.9997
2019-04-18,246.1612
2019-04-17,224.0267
2019-04-16,204.0462
2019-04-15,139.5129
2019-04-12,96.9425
2019-04-11,85.0582
2019-04-10,75.8274
2019-04-09,67.6705
2019-04-08,59.5886
2019-04-05,50.9939
2019-04-04,41.5942
2019-04-03,31.8972
2019-04-02,22.4262
2019-04-01,8.1971
2019-03-29,-1.0358
2019-03-28,-14.0106
2019-03-27,-27.0078
2019-03-26,-40.0134
2019-03-25,307.3270
2019-03-22,294.0230
2019-03-21,283.7109
2019-03-20,277.1585
2019-03-19,269.8322
2019-03-18,257.8732
2019-03-15,246.0089
2019-03-14,234.9797
2019-03-13,225.7809
2019-03-12,216.5000
2019-03-11,208.8492
2019-03-08,203.2756
2019-03-07,203.0010
2019-03-06,202.6709
2019-03-05,201.3455
2019-03-04,202.3302
2019-03-01,202.9997
2019-02-28,202.6515
2019-02-27,198.6372
2019-02-26,196.0145
2019-02-25,191.0322
2019-02-22,185.8060
2019-02-21,182.5517
2019-02-20,180.3759
2019-02-19,180.6386
2019-02-15,180.9692
2019-02-14,181.5756
2019-02-13,179.3984
2019-02-12,175.2197
2019-02-11,171.0182
2019-02-08,166.2470
2019-02-07,166.0920
2019-02-06,169.1070
2019-02-05,173.0591
2019-02-04,177.2931
2019-02-01,181.3485
2019-01-31,185.8960
2019-01-30,186.4305
2019-01-29,185.9079
2019-01-28,183.8981
2019-01-25,181.8021
2019-01-24,179.4221
2019-01-23,171.8663
2019-01-22,168.8401
2019-01-18,166.0767
2019-01-17,169.2262
2019-01-16,166.3797
2019-01-15,162.5993
2019-01-14,158.6556
2019-01-11,147.1603
2019-01-10,135.7220
2019-01-09,121.0046
2019-01-08,101.9124
2019-01-07,80.4722
2019-01-04,68.2982
2019-01-03,48.1064
2019-01-02,33.5949
2018-12-31,20.6738
