Dates,CMO Values
2020-09-14,-7.3675
2020-09-11,-7.8382
2020-09-10,-8.0721
2020-09-09,-7.8301
2020-09-08,-7.8067
2020-09-04,-7.0247
2020-09-03,-7.2317
2020-09-02,-6.7588
2020-09-01,-7.0008
2020-08-31,-7.0260
2020-08-28,-6.7150
2020-08-27,-6.8580
2020-08-26,-7.0632
2020-08-25,-6.8442
2020-08-24,-6.5702
2020-08-21,-7.5275
2020-08-20,-7.3676
2020-08-19,-7.3952
2020-08-18,-7.3219
2020-08-17,-7.1865
2020-08-14,-6.7240
2020-08-13,-7.0168
2020-08-12,-6.9630
2020-08-11,-6.6076
2020-08-10,-6.6698
2020-08-07,-7.4842
2020-08-06,-7.3207
2020-08-05,-7.1650
2020-08-04,-7.9641
2020-08-03,-8.2082
2020-07-31,-8.5806
2020-07-30,-8.2901
2020-07-29,-7.9910
2020-07-28,-7.6345
2020-07-27,-7.6886
2020-07-24,-7.4275
2020-07-23,-7.2296
2020-07-22,-6.9839
2020-07-21,-7.0819
2020-07-20,-7.4372
2020-07-17,-7.3471
2020-07-16,-7.1266
2020-07-15,-6.4532
2020-07-14,-7.1206
2020-07-13,-7.4828
2020-07-10,-7.2809
2020-07-09,-7.7134
2020-07-08,-7.2229
2020-07-07,-7.3231
2020-07-06,-6.6703
2020-07-02,-7.2614
2020-07-01,-7.3022
2020-06-30,-7.0882
2020-06-29,-6.2798
2020-06-26,-8.3315
2020-06-25,-7.9799
2020-06-24,-7.8491
2020-06-23,-7.0368
2020-06-22,-6.9902
2020-06-19,-7.1155
2020-06-18,-6.7335
2020-06-17,-6.7154
2020-06-16,-6.3368
2020-06-15,-6.9005
2020-06-12,-7.0187
2020-06-11,-8.6495
2020-06-10,-6.2144
2020-06-09,-5.2113
2020-06-08,-4.1585
2020-06-05,-6.2989
2020-06-04,-8.1629
2020-06-03,-9.1671
2020-06-02,-10.9941
2020-06-01,-11.1732
2020-05-29,-11.6905
2020-05-28,-11.3965
2020-05-27,-11.4244
2020-05-26,-11.8694
2020-05-22,-12.5415
2020-05-21,-12.4347
2020-05-20,-12.9654
2020-05-19,-13.2351
2020-05-18,-12.8758
2020-05-15,-14.3305
2020-05-14,-14.1508
2020-05-13,-14.2473
2020-05-12,-13.9834
2020-05-11,-13.7214
2020-05-08,-13.3992
2020-05-07,-13.8465
2020-05-06,-14.4835
2020-05-05,-14.2346
2020-05-04,-13.8072
2020-05-01,-13.6723
2020-04-30,-13.1305
2020-04-29,-13.3173
2020-04-28,-14.0317
2020-04-27,-14.2756
2020-04-24,-14.2548
2020-04-23,-13.6432
2020-04-22,-13.8988
2020-04-21,-13.8041
2020-04-20,-13.2961
2020-04-17,-12.5644
2020-04-16,-14.3912
2020-04-15,-13.5619
2020-04-14,-14.0281
2020-04-13,-13.5794
2020-04-09,-13.2584
2020-04-08,-13.7215
2020-04-07,-14.2161
2020-04-06,-13.7086
2020-04-03,-16.0120
2020-04-02,-16.1326
2020-04-01,-15.6136
2020-03-31,-14.3038
2020-03-30,-14.0779
2020-03-27,-13.3744
2020-03-26,-12.0064
2020-03-25,-14.1156
2020-03-24,-17.2417
2020-03-23,-19.5570
2020-03-20,-20.6976
2020-03-19,-20.5056
2020-03-18,-20.2079
2020-03-17,-18.5936
2020-03-16,-18.1887
2020-03-13,-15.0700
2020-03-12,-16.7457
2020-03-11,-13.9668
2020-03-10,-10.3195
2020-03-09,-10.7473
2020-03-06,-7.4784
2020-03-05,-7.6972
2020-03-04,-5.4749
2020-03-03,-5.7533
2020-03-02,-4.8890
2020-02-28,-6.4794
2020-02-27,-5.2018
2020-02-26,-3.3499
2020-02-25,-3.5135
2020-02-24,-2.0493
2020-02-21,-0.6892
2020-02-20,-0.0363
2020-02-19,0.1881
2020-02-18,0.2524
2020-02-14,0.4304
2020-02-13,0.6878
2020-02-12,0.9707
2020-02-11,0.6439
2020-02-10,0.6711
2020-02-07,-0.1848
2020-02-06,0.3235
2020-02-05,-0.9752
2020-02-04,-2.2709
2020-02-03,-2.4896
2020-01-31,-2.2462
2020-01-30,-1.7054
2020-01-29,-1.8481
2020-01-28,-2.4581
2020-01-27,-2.4538
2020-01-24,-1.7657
2020-01-23,-2.3516
2020-01-22,-3.3408
2020-01-21,-2.8765
2020-01-17,-1.7176
2020-01-16,-0.8605
2020-01-15,-1.1064
2020-01-14,-0.8275
2020-01-13,-1.0644
2020-01-10,-1.0976
2020-01-09,-0.3993
2020-01-08,-0.9483
2020-01-07,-0.3033
2020-01-06,-0.6941
2020-01-03,-0.8023
2020-01-02,-0.7417
2019-12-31,-1.5757
2019-12-30,-1.5070
2019-12-27,-1.1057
2019-12-26,-1.1298
2019-12-24,-0.8002
2019-12-23,-0.3118
2019-12-20,-1.3540
2019-12-19,-0.7632
2019-12-18,-1.0720
2019-12-17,-1.4759
2019-12-16,-1.4759
2019-12-13,0.1027
2019-12-12,0.6078
2019-12-11,1.0150
2019-12-10,0.7888
2019-12-09,1.1513
2019-12-06,1.4673
2019-12-05,0.5649
2019-12-04,0.9104
2019-12-03,1.2653
2019-12-02,1.6056
2019-11-29,2.8254
2019-11-27,3.0290
2019-11-26,3.6473
2019-11-25,3.6076
2019-11-22,3.4211
2019-11-21,2.9095
2019-11-20,3.4067
2019-11-19,2.9988
2019-11-18,3.2718
2019-11-15,3.5182
2019-11-14,3.0788
2019-11-13,2.5643
2019-11-12,2.6060
2019-11-11,3.0534
2019-11-08,1.3796
2019-11-07,2.0729
2019-11-06,1.5265
2019-11-05,1.9750
2019-11-04,1.2125
2019-11-01,0.5819
2019-10-31,0.0136
2019-10-30,0.6806
2019-10-29,0.9933
2019-10-28,0.1275
2019-10-25,0.0140
2019-10-24,0.5249
2019-10-23,0.0892
2019-10-22,-0.2885
2019-10-21,-0.9329
2019-10-18,0.4663
2019-10-17,3.2771
2019-10-16,3.6652
2019-10-15,3.5078
2019-10-14,3.7625
2019-10-11,3.9620
2019-10-10,3.5463
2019-10-09,3.9988
2019-10-08,3.9081
2019-10-07,4.1861
2019-10-04,4.0982
2019-10-03,3.7185
2019-10-02,3.2237
2019-10-01,4.0801
2019-09-30,4.7107
2019-09-27,4.9842
2019-09-26,5.4464
2019-09-25,5.3754
2019-09-24,4.9072
2019-09-23,4.4294
2019-09-20,4.6967
2019-09-19,5.2706
2019-09-18,5.4951
2019-09-17,5.2696
2019-09-16,4.7221
2019-09-13,4.8247
2019-09-12,4.4020
2019-09-11,5.2250
2019-09-10,3.8372
2019-09-09,2.7085
2019-09-06,3.1833
2019-09-05,2.8976
2019-09-04,2.4977
2019-09-03,2.2736
2019-08-30,3.3569
2019-08-29,3.2145
2019-08-28,2.9224
2019-08-27,2.3680
2019-08-26,2.8487
2019-08-23,2.5285
2019-08-22,2.3594
2019-08-21,0.8165
2019-08-20,-0.0827
2019-08-19,0.1398
2019-08-16,-0.2245
2019-08-15,-0.4929
2019-08-14,-1.3283
2019-08-13,0.0295
2019-08-12,0.0384
2019-08-09,0.5460
2019-08-08,0.4152
2019-08-07,-0.3495
2019-08-06,-0.2334
2019-08-05,-0.3846
2019-08-02,0.5380
2019-08-01,-0.0335
2019-07-31,0.7194
2019-07-30,1.4120
2019-07-29,0.6270
2019-07-26,1.1565
2019-07-25,1.4993
2019-07-24,2.9988
2019-07-23,4.3369
2019-07-22,4.3775
2019-07-19,4.8341
2019-07-18,3.0945
2019-07-17,4.0742
2019-07-16,3.3384
2019-07-15,3.2140
2019-07-12,3.6471
2019-07-11,2.9577
2019-07-10,2.2210
2019-07-09,2.3122
2019-07-08,2.0956
2019-07-05,2.6403
2019-07-03,2.4885
2019-07-02,2.4548
2019-07-01,2.7172
2019-06-28,3.5839
2019-06-27,3.5851
2019-06-26,4.8519
2019-06-25,4.2522
2019-06-24,4.7983
2019-06-21,4.5693
2019-06-20,4.9244
2019-06-19,4.2519
2019-06-18,4.8826
2019-06-17,2.8179
2019-06-14,1.9580
2019-06-13,2.1555
2019-06-12,1.9520
2019-06-11,2.2178
2019-06-10,2.7358
2019-06-07,2.7249
2019-06-06,2.3896
2019-06-05,2.1824
2019-06-04,1.7289
2019-06-03,1.0958
2019-05-31,1.4043
2019-05-30,2.3482
2019-05-29,2.2309
2019-05-28,2.9299
2019-05-24,2.9322
2019-05-23,2.4598
2019-05-22,2.7147
2019-05-21,3.4002
2019-05-20,2.7556
2019-05-17,3.0115
2019-05-16,2.8809
2019-05-15,1.9944
2019-05-14,1.7103
2019-05-13,1.0882
2019-05-10,3.0688
2019-05-09,3.0097
2019-05-08,3.4210
2019-05-07,3.1490
2019-05-06,4.8238
2019-05-03,5.3997
2019-05-02,5.3294
2019-05-01,5.4475
2019-04-30,5.5523
2019-04-29,5.7121
2019-04-26,5.9161
2019-04-25,6.1517
2019-04-24,5.3872
2019-04-23,5.2365
2019-04-22,5.3699
2019-04-18,5.9390
2019-04-17,5.6752
2019-04-16,6.1631
2019-04-15,5.5161
2019-04-12,6.0017
2019-04-11,5.0153
2019-04-10,4.4661
2019-04-09,4.9403
2019-04-08,5.5777
2019-04-05,7.6445
2019-04-04,8.1199
2019-04-03,6.9631
2019-04-02,7.6923
2019-04-01,7.7884
2019-03-29,6.7275
2019-03-28,5.9852
2019-03-27,5.9607
2019-03-26,5.5522
2019-03-25,5.5618
2019-03-22,4.6745
2019-03-21,5.9324
2019-03-20,6.3502
2019-03-19,6.0593
2019-03-18,5.9368
2019-03-15,6.7447
2019-03-14,6.1408
2019-03-13,6.6044
2019-03-12,6.4212
2019-03-11,9.4593
2019-03-08,12.3829
2019-03-07,12.3856
2019-03-06,12.6368
2019-03-05,13.3880
2019-03-04,13.7307
2019-03-01,14.7958
2019-02-28,14.7297
