Dates,TEMA Values
2019-12-02,361.1761
2019-11-29,367.7584
2019-11-27,370.0905
2019-11-26,372.1559
2019-11-25,371.2956
2019-11-22,370.0145
2019-11-21,369.0479
2019-11-20,370.5966
2019-11-19,369.5595
2019-11-18,370.2474
2019-11-15,369.1878
2019-11-14,365.6871
2019-11-13,362.9156
2019-11-12,361.7144
2019-11-11,359.2928
2019-11-08,352.6475
2019-11-07,353.2135
2019-11-06,349.6142
2019-11-05,347.5506
2019-11-04,341.6890
2019-11-01,337.8441
2019-10-31,336.2459
2019-10-30,337.6311
2019-10-29,335.8845
2019-10-28,331.7779
2019-10-25,331.5640
2019-10-24,332.5565
2019-10-23,331.5796
2019-10-22,333.5957
2019-10-21,339.7019
2019-10-18,353.3670
2019-10-17,365.4217
2019-10-16,366.8135
2019-10-15,366.7560
2019-10-14,367.7664
2019-10-11,367.9045
2019-10-10,367.0818
2019-10-09,368.6098
2019-10-08,368.3820
2019-10-07,368.7619
2019-10-04,367.8663
2019-10-03,367.2919
2019-10-02,369.0639
2019-10-01,374.9736
2019-09-30,378.7245
2019-09-27,380.5282
2019-09-26,381.4578
2019-09-25,379.9622
2019-09-24,378.0103
2019-09-23,377.9517
2019-09-20,380.6984
2019-09-19,382.8625
2019-09-18,382.2802
2019-09-17,379.6317
2019-09-16,376.7000
2019-09-13,375.4384
2019-09-12,372.4854
2019-09-11,370.3790
2019-09-10,361.9799
2019-09-09,358.1675
2019-09-06,359.3803
2019-09-05,358.0925
2019-09-04,357.6738
2019-09-03,359.2109
2019-08-30,362.4455
2019-08-29,360.2690
2019-08-28,357.3696
2019-08-27,354.3544
2019-08-26,352.8167
2019-08-23,347.1458
2019-08-22,340.3230
2019-08-21,331.0118
2019-08-20,326.7255
2019-08-19,325.9005
2019-08-16,323.4508
2019-08-15,322.2318
2019-08-14,322.3154
2019-08-13,327.7378
2019-08-12,327.7229
2019-08-09,327.8702
2019-08-08,325.3029
2019-08-07,322.6781
2019-08-06,323.9091
2019-08-05,325.5530
2019-08-02,329.4385
2019-08-01,330.1076
2019-07-31,335.0991
2019-07-30,338.4196
2019-07-29,339.6366
2019-07-26,346.6302
2019-07-25,354.0989
2019-07-24,363.1935
2019-07-23,367.7129
2019-07-22,366.4478
2019-07-19,364.0496
2019-07-18,357.6636
2019-07-17,358.7783
2019-07-16,354.7522
2019-07-15,353.1905
2019-07-12,351.6141
2019-07-11,346.8781
2019-07-10,344.2105
2019-07-09,344.9332
2019-07-08,345.7577
2019-07-05,348.5468
2019-07-03,349.7857
2019-07-02,352.7416
2019-07-01,357.4543
2019-06-28,362.9201
2019-06-27,365.8925
2019-06-26,370.0160
2019-06-25,368.5327
2019-06-24,369.6061
2019-06-21,367.6223
2019-06-20,365.5930
2019-06-19,360.0943
2019-06-18,355.7118
2019-06-17,345.3797
2019-06-14,342.5644
2019-06-13,343.4922
2019-06-12,343.7314
2019-06-11,345.2613
2019-06-10,345.9446
2019-06-07,343.9348
2019-06-06,341.0017
2019-06-05,338.7337
2019-06-04,336.7586
2019-06-03,336.7617
2019-05-31,340.7587
2019-05-30,345.0246
2019-05-29,345.9563
2019-05-28,348.0682
2019-05-24,347.1854
2019-05-23,345.8884
2019-05-22,346.8906
2019-05-21,346.9587
2019-05-20,343.2136
2019-05-17,341.7884
2019-05-16,338.4936
2019-05-15,334.8345
2019-05-14,335.3622
2019-05-13,338.4733
2019-05-10,347.3926
2019-05-09,349.6450
2019-05-08,353.7433
2019-05-07,357.8196
2019-05-06,365.7496
2019-05-03,368.1623
2019-05-02,368.5741
2019-05-01,369.6220
2019-04-30,370.4977
2019-04-29,371.1645
2019-04-26,371.1938
2019-04-25,370.0288
2019-04-24,366.9554
2019-04-23,367.2448
2019-04-22,368.6484
2019-04-18,369.9739
2019-04-17,368.7075
2019-04-16,368.5091
2019-04-15,365.5007
2019-04-12,365.2567
2019-04-11,362.3149
2019-04-10,364.3989
2019-04-09,371.0887
2019-04-08,378.3311
2019-04-05,385.2854
2019-04-04,383.8286
2019-04-03,378.7569
2019-04-02,378.2715
2019-04-01,373.3880
2019-03-29,365.5473
2019-03-28,360.6827
2019-03-27,358.3318
2019-03-26,355.4095
2019-03-25,354.1387
2019-03-22,352.8749
2019-03-21,357.2028
2019-03-20,357.4995
2019-03-19,356.5541
2019-03-18,357.9509
2019-03-15,361.8593
2019-03-14,364.3725
2019-03-13,372.9645
2019-03-12,384.1958
2019-03-11,402.7330
2019-03-08,414.4391
2019-03-07,417.1134
2019-03-06,421.0496
2019-03-05,425.4906
2019-03-04,428.0650
2019-03-01,429.7725
2019-02-28,426.5948
2019-02-27,421.8228
2019-02-26,417.2758
2019-02-25,415.8247
2019-02-22,413.2045
2019-02-21,410.7712
2019-02-20,410.9943
2019-02-19,408.2608
2019-02-15,407.2024
2019-02-14,404.0096
2019-02-13,404.1026
2019-02-12,403.1527
2019-02-11,401.0057
2019-02-08,401.5578
2019-02-07,400.9357
2019-02-06,398.9406
2019-02-05,392.5059
2019-02-04,382.7036
2019-02-01,376.0377
2019-01-31,371.7486
2019-01-30,365.9693
2019-01-29,355.5434
2019-01-28,354.6364
2019-01-25,354.2162
2019-01-24,352.4191
2019-01-23,353.2261
2019-01-22,353.7270
2019-01-18,354.3742
2019-01-17,350.2563
2019-01-16,347.2275
2019-01-15,346.7119
2019-01-14,345.1651
2019-01-11,343.3925
2019-01-10,338.3872
2019-01-09,330.5071
2019-01-08,324.0409
2019-01-07,316.2374
2019-01-04,312.5568
2019-01-03,307.6613
2019-01-02,310.9243
2018-12-31,307.2768
2018-12-28,302.7602
2018-12-27,300.2220
2018-12-26,296.2448
2018-12-24,292.8753
2018-12-21,301.2866
2018-12-20,307.3499
2018-12-19,311.0511
2018-12-18,312.4951
2018-12-17,309.2969
2018-12-14,312.6203
2018-12-13,316.0745
2018-12-12,316.9981
2018-12-11,317.7544
2018-12-10,322.0778
2018-12-07,325.7409
2018-12-06,333.1639
2018-12-04,338.2636
