Dates,WMA Values
2020-05-22,242.9193
2020-05-21,244.4234
2020-05-20,245.9222
2020-05-19,247.4870
2020-05-18,249.0906
2020-05-15,250.6541
2020-05-14,252.3818
2020-05-13,254.0954
2020-05-12,255.8298
2020-05-11,257.5377
2020-05-08,259.2196
2020-05-07,260.8673
2020-05-06,262.5746
2020-05-05,264.3616
2020-05-04,266.1256
2020-05-01,267.8405
2020-04-30,269.5477
2020-04-29,271.1895
2020-04-28,272.8622
2020-04-27,274.6228
2020-04-24,276.4207
2020-04-23,278.2263
2020-04-22,279.9552
2020-04-21,281.7221
2020-04-20,283.4861
2020-04-17,285.1878
2020-04-16,286.7958
2020-04-15,288.6111
2020-04-14,290.3202
2020-04-13,292.0896
2020-04-09,293.8070
2020-04-08,295.4900
2020-04-07,297.2334
2020-04-06,299.0406
2020-04-03,300.7872
2020-04-02,302.7869
2020-04-01,304.8112
2020-03-31,306.7724
2020-03-30,308.5596
2020-03-27,310.3251
2020-03-26,312.0028
2020-03-25,313.5040
2020-03-24,315.2316
2020-03-23,317.2792
2020-03-20,319.5582
2020-03-19,321.9550
2020-03-18,324.3370
2020-03-17,326.6889
2020-03-16,328.8299
2020-03-13,330.9271
2020-03-12,332.6290
2020-03-11,334.4934
2020-03-10,336.0250
2020-03-09,337.1451
2020-03-06,338.3093
2020-03-05,339.1282
2020-03-04,339.9708
2020-03-03,340.5903
2020-03-02,341.2380
2020-02-28,341.8022
2020-02-27,342.5104
2020-02-26,343.0948
2020-02-25,343.5040
2020-02-24,343.9297
2020-02-21,344.2202
2020-02-20,344.3875
2020-02-19,344.4974
2020-02-18,344.5886
2020-02-14,344.6755
2020-02-13,344.7477
2020-02-12,344.7980
2020-02-11,344.8241
2020-02-10,344.8817
2020-02-07,344.9383
2020-02-06,345.0748
2020-02-05,345.1664
2020-02-04,345.3773
2020-02-03,345.7059
2020-01-31,346.0564
2020-01-30,346.3872
2020-01-29,346.6705
2020-01-28,346.9690
2020-01-27,347.3239
2020-01-24,347.6804
2020-01-23,347.9751
2020-01-22,348.3243
2020-01-21,348.7642
2020-01-17,349.1646
2020-01-16,349.4610
2020-01-15,349.6824
2020-01-14,349.9282
2020-01-13,350.1510
2020-01-10,350.3966
2020-01-09,350.6471
2020-01-08,350.8355
2020-01-07,351.0746
2020-01-06,351.2562
2020-01-03,351.4744
2020-01-02,351.7041
2019-12-31,351.9299
2019-12-30,352.2325
2019-12-27,352.5311
2019-12-26,352.7944
2019-12-24,353.0620
2019-12-23,353.3008
2019-12-20,353.4974
2019-12-19,353.7928
2019-12-18,354.0378
2019-12-17,354.3150
2019-12-16,354.6333
2019-12-13,354.9564
2019-12-12,355.1390
2019-12-11,355.2801
2019-12-10,355.3884
2019-12-09,355.5210
2019-12-06,355.6242
2019-12-05,355.7020
2019-12-04,355.8662
2019-12-03,356.0023
2019-12-02,356.1093
2019-11-29,356.1883
2019-11-27,356.1603
2019-11-26,356.1161
2019-11-25,356.0189
2019-11-22,355.9266
2019-11-21,355.8533
2019-11-20,355.8300
2019-11-19,355.7641
2019-11-18,355.7385
2019-11-15,355.6895
2019-11-14,355.6189
2019-11-13,355.5907
2019-11-12,355.6122
2019-11-11,355.6296
2019-11-08,355.6061
2019-11-07,355.7407
2019-11-06,355.8125
2019-11-05,355.9351
2019-11-04,356.0171
2019-11-01,356.1703
2019-10-31,356.3819
2019-10-30,356.6457
2019-10-29,356.8490
2019-10-28,357.0239
2019-10-25,357.2783
2019-10-24,357.5433
2019-10-23,357.7616
2019-10-22,358.0195
2019-10-21,358.3110
2019-10-18,358.6605
2019-10-17,358.8809
2019-10-16,358.8523
2019-10-15,358.7879
2019-10-14,358.7349
2019-10-11,358.6572
2019-10-10,358.5590
2019-10-09,358.4954
2019-10-08,358.3891
2019-10-07,358.2880
2019-10-04,358.1599
2019-10-03,358.0374
2019-10-02,357.9476
2019-10-01,357.9015
2019-09-30,357.7781
2019-09-27,357.5974
2019-09-26,357.3899
2019-09-25,357.1396
2019-09-24,356.8927
2019-09-23,356.6878
2019-09-20,356.5264
2019-09-19,356.3405
2019-09-18,356.1028
2019-09-17,355.8433
2019-09-16,355.6028
2019-09-13,355.4116
2019-09-12,355.2081
2019-09-11,355.0419
2019-09-10,354.8002
2019-09-09,354.6880
2019-09-06,354.6791
2019-09-05,354.6270
2019-09-04,354.6003
2019-09-03,354.6097
2019-08-30,354.6394
2019-08-29,354.5734
2019-08-28,354.5207
2019-08-27,354.4954
2019-08-26,354.5221
2019-08-23,354.5064
2019-08-22,354.5204
2019-08-21,354.5500
2019-08-20,354.7221
2019-08-19,354.9760
2019-08-16,355.2104
2019-08-15,355.4774
2019-08-14,355.7697
2019-08-13,356.1382
2019-08-12,356.3852
2019-08-09,356.6318
2019-08-08,356.8336
2019-08-07,357.0479
2019-08-06,357.3318
2019-08-05,357.6067
2019-08-02,357.8967
2019-08-01,358.1043
2019-07-31,358.3644
2019-07-30,358.5577
2019-07-29,358.6904
2019-07-26,358.8958
2019-07-25,359.0561
2019-07-24,359.1878
2019-07-23,359.1901
2019-07-22,359.0794
2019-07-19,358.9656
2019-07-18,358.8132
2019-07-17,358.8199
2019-07-16,358.7441
2019-07-15,358.7342
2019-07-12,358.7355
2019-07-11,358.7002
2019-07-10,358.7273
2019-07-09,358.8202
2019-07-08,358.9058
2019-07-05,359.0110
2019-07-03,359.0695
2019-07-02,359.1417
2019-07-01,359.2167
2019-06-28,359.2687
2019-06-27,359.2458
2019-06-26,359.2215
2019-06-25,359.0889
2019-06-24,359.0101
2019-06-21,358.8841
2019-06-20,358.7775
2019-06-19,358.6395
2019-06-18,358.5618
2019-06-17,358.4300
2019-06-14,358.4841
2019-06-13,358.6138
2019-06-12,358.7267
2019-06-11,358.8572
2019-06-10,358.9651
2019-06-07,359.0290
2019-06-06,359.0934
2019-06-05,359.1873
2019-06-04,359.2993
2019-06-03,359.4507
2019-05-31,359.6579
2019-05-30,359.8382
2019-05-29,359.9369
2019-05-28,360.0456
2019-05-24,360.0941
2019-05-23,360.1419
2019-05-22,360.2317
2019-05-21,360.2992
2019-05-20,360.3075
2019-05-17,360.3737
2019-05-16,360.4178
2019-05-15,360.4733
2019-05-14,360.6090
2019-05-13,360.7705
2019-05-10,360.9881
2019-05-09,361.0363
2019-05-08,361.0895
2019-05-07,361.1075
2019-05-06,361.1497
2019-05-03,361.0514
2019-05-02,360.9046
2019-05-01,360.7631
2019-04-30,360.6103
2019-04-29,360.4472
2019-04-26,360.2686
2019-04-25,360.0713
2019-04-24,359.8523
2019-04-23,359.7023
2019-04-22,359.5642
2019-04-18,359.4125
2019-04-17,359.2109
2019-04-16,359.0318
2019-04-15,358.8093
2019-04-12,358.6452
2019-04-11,358.4379
2019-04-10,358.3206
2019-04-09,358.2526
2019-04-08,358.1429
2019-04-05,357.9782
2019-04-04,357.6416
2019-04-03,357.2645
2019-04-02,356.9940
2019-04-01,356.6634
2019-03-29,356.3235
2019-03-28,356.0812
2019-03-27,355.9063
2019-03-26,355.7331
2019-03-25,355.5968
2019-03-22,355.4596
2019-03-21,355.4025
2019-03-20,355.2423
2019-03-19,355.0472
2019-03-18,354.8774
2019-03-15,354.7179
2019-03-14,354.4915
2019-03-13,354.3196
2019-03-12,354.1093
2019-03-11,353.9147
2019-03-08,353.4786
2019-03-07,352.8204
2019-03-06,352.1584
2019-03-05,351.4737
2019-03-04,350.7294
2019-03-01,349.9556
2019-02-28,349.0997
2019-02-27,348.2453
2019-02-26,347.4301
2019-02-25,346.6949
2019-02-22,345.9541
2019-02-21,345.2363
2019-02-20,344.5770
2019-02-19,343.8744
2019-02-15,343.2184
2019-02-14,342.5413
2019-02-13,341.9393
2019-02-12,341.3262
2019-02-11,340.7081
2019-02-08,340.1525
2019-02-07,339.5836
2019-02-06,339.0086
2019-02-05,338.3924
2019-02-04,337.7815
2019-02-01,337.2951
2019-01-31,336.8986
2019-01-30,336.5167
2019-01-29,336.1115
2019-01-28,335.9252
2019-01-25,335.7558
2019-01-24,335.5728
2019-01-23,335.4452
2019-01-22,335.3126
2019-01-18,335.1855
2019-01-17,334.9903
2019-01-16,334.8481
2019-01-15,334.7722
2019-01-14,334.6931
2019-01-11,334.6306
2019-01-10,334.5417
2019-01-09,334.4543
2019-01-08,334.4504
2019-01-07,334.4772
2019-01-04,334.6243
2019-01-03,334.7816
2019-01-02,335.0961
2018-12-31,335.2859
2018-12-28,335.4885
2018-12-27,335.7508
2018-12-26,336.0064
2018-12-24,336.2944
2018-12-21,336.7761
2018-12-20,337.1593
2018-12-19,337.4618
2018-12-18,337.7025
2018-12-17,337.8619
2018-12-14,338.1378
2018-12-13,338.3896
2018-12-12,338.5780
2018-12-11,338.7561
2018-12-10,338.9811
2018-12-07,339.1655
2018-12-06,339.3815
