Dates,RSI Values
2019-12-09,41.0784
2019-12-06,43.8928
2019-12-05,31.5715
2019-12-04,34.1041
2019-12-03,36.8306
2019-12-02,39.5535
2019-11-29,51.7783
2019-11-27,54.2763
2019-11-26,62.4908
2019-11-25,62.1351
2019-11-22,60.5491
2019-11-21,56.0094
2019-11-20,61.8531
2019-11-19,58.4394
2019-11-18,61.5586
2019-11-15,64.3482
2019-11-14,61.3366
2019-11-13,57.5790
2019-11-12,57.9691
2019-11-11,62.0293
2019-11-08,49.6018
2019-11-07,56.1398
2019-11-06,51.4426
2019-11-05,55.6957
2019-11-04,49.0364
2019-11-01,42.6826
2019-10-31,36.2846
2019-10-30,41.0931
2019-10-29,43.5151
2019-10-28,33.6419
2019-10-25,32.2518
2019-10-24,35.2384
2019-10-23,30.2505
2019-10-22,25.8060
2019-10-21,17.8061
2019-10-18,22.5794
2019-10-17,42.3817
2019-10-16,47.4144
2019-10-15,44.8431
2019-10-14,48.0356
2019-10-11,50.5755
2019-10-10,44.6405
2019-10-09,50.1115
2019-10-08,48.8871
2019-10-07,52.1556
2019-10-04,51.1435
2019-10-03,46.7637
2019-10-02,40.5389
2019-10-01,48.8044
2019-09-30,56.3478
2019-09-27,59.9522
2019-09-26,66.3977
2019-09-25,65.8316
2019-09-24,62.0361
2019-09-23,57.7470
2019-09-20,60.9108
2019-09-19,68.0957
2019-09-18,71.0377
2019-09-17,69.7167
2019-09-16,66.3754
2019-09-13,67.5158
2019-09-12,65.0641
2019-09-11,73.9556
2019-09-10,66.3380
2019-09-09,57.4109
2019-09-06,63.3706
2019-09-05,61.0418
2019-09-04,57.6590
2019-09-03,55.7224
2019-08-30,68.6790
2019-08-29,67.7365
2019-08-28,65.8379
2019-08-27,62.0343
2019-08-26,67.6065
2019-08-23,65.6545
2019-08-22,64.6420
2019-08-21,53.5293
2019-08-20,44.5698
2019-08-19,46.5601
2019-08-16,42.7882
2019-08-15,39.9832
2019-08-14,30.4942
2019-08-13,39.7852
2019-08-12,39.8555
2019-08-09,43.8752
2019-08-08,42.5169
2019-08-07,34.1750
2019-08-06,34.8687
2019-08-05,33.2855
2019-08-02,38.4261
2019-08-01,32.6195
2019-07-31,36.6908
2019-07-30,40.8758
2019-07-29,32.9267
2019-07-26,35.7878
2019-07-25,37.6892
2019-07-24,47.4930
2019-07-23,59.6854
2019-07-22,60.1029
2019-07-19,64.6879
2019-07-18,50.7388
2019-07-17,62.1796
2019-07-16,54.7947
2019-07-15,53.4163
2019-07-12,58.6706
2019-07-11,51.3404
2019-07-10,41.4477
2019-07-09,42.3616
2019-07-08,39.3607
2019-07-05,44.3623
2019-07-03,42.4316
2019-07-02,42.0279
2019-07-01,44.0929
2019-06-28,51.5807
2019-06-27,51.5911
2019-06-26,64.4075
2019-06-25,59.7795
2019-06-24,66.2188
2019-06-21,64.6406
2019-06-20,68.7265
2019-06-19,64.5318
2019-06-18,71.9534
2019-06-17,55.8085
2019-06-14,44.0341
2019-06-13,46.4823
2019-06-12,43.4355
2019-06-11,46.4251
2019-06-10,52.7791
2019-06-07,52.6487
2019-06-06,48.7483
2019-06-05,46.2890
2019-06-04,40.6920
2019-06-03,31.8207
2019-05-31,33.9930
2019-05-30,41.7903
2019-05-29,40.1908
2019-05-28,46.7617
2019-05-24,46.7843
2019-05-23,41.2116
2019-05-22,43.3038
2019-05-21,49.3391
2019-05-20,42.0871
2019-05-17,44.2186
2019-05-16,42.8040
2019-05-15,32.3839
2019-05-14,28.6614
2019-05-13,20.0195
2019-05-10,29.9987
2019-05-09,29.0045
2019-05-08,31.6608
2019-05-07,27.4328
2019-05-06,40.1954
2019-05-03,46.8264
2019-05-02,45.7322
2019-05-01,47.0525
2019-04-30,48.1664
2019-04-29,49.7873
2019-04-26,51.7944
2019-04-25,54.0601
2019-04-24,46.3464
2019-04-23,44.7071
2019-04-22,45.7109
2019-04-18,50.0175
2019-04-17,47.7102
2019-04-16,51.2149
2019-04-15,45.8822
2019-04-12,49.1081
2019-04-11,40.5808
2019-04-10,35.2000
2019-04-09,37.6074
2019-04-08,40.9787
2019-04-05,55.1029
2019-04-04,59.2519
2019-04-03,49.5851
2019-04-02,56.0534
2019-04-01,56.9320
2019-03-29,47.4325
2019-03-28,39.0933
2019-03-27,38.8054
2019-03-26,34.1398
2019-03-25,34.1888
2019-03-22,24.0176
2019-03-21,29.1716
2019-03-20,31.1484
2019-03-19,27.6678
2019-03-18,26.2545
2019-03-15,29.2564
2019-03-14,22.4929
2019-03-13,23.8796
2019-03-12,21.9281
2019-03-11,32.6360
2019-03-08,54.6217
2019-03-07,54.6511
2019-03-06,57.2888
2019-03-05,65.8037
2019-03-04,70.0590
2019-03-01,85.3944
2019-02-28,85.1510
2019-02-27,83.4506
2019-02-26,79.3730
2019-02-25,79.5765
2019-02-22,78.1548
2019-02-21,74.4877
2019-02-20,82.0986
2019-02-19,79.5987
2019-02-15,82.9695
2019-02-14,79.1893
2019-02-13,80.6925
2019-02-12,80.9473
2019-02-11,77.9125
2019-02-08,79.5292
2019-02-07,79.9334
2019-02-06,85.7671
2019-02-05,85.5397
2019-02-04,81.8395
2019-02-01,78.1928
2019-01-31,77.4211
2019-01-30,80.3918
2019-01-29,68.6213
2019-01-28,67.1100
2019-01-25,69.0065
2019-01-24,64.6750
2019-01-23,65.1448
2019-01-22,64.6624
2019-01-18,73.4658
2019-01-17,70.4788
2019-01-16,66.2119
2019-01-15,66.4332
2019-01-14,65.3446
2019-01-11,68.0273
2019-01-10,67.8918
2019-01-09,63.7016
2019-01-08,62.0252
2019-01-07,54.9828
2019-01-04,54.3510
2019-01-03,43.0501
2019-01-02,52.3581
2018-12-31,51.3984
2018-12-28,46.9013
2018-12-27,47.3914
2018-12-26,45.2152
2018-12-24,28.9164
2018-12-21,33.6518
2018-12-20,38.2656
2018-12-19,42.2527
2018-12-18,48.1661
2018-12-17,37.0505
2018-12-14,38.6905
2018-12-13,43.0935
2018-12-12,43.9100
2018-12-11,40.0021
2018-12-10,42.4709
2018-12-07,40.0586
2018-12-06,44.7410
