Dates,ULTOSC Values
2019-09-30,51.4318
2019-09-27,55.7633
2019-09-26,62.3119
2019-09-25,61.4625
2019-09-24,63.4189
2019-09-23,54.9487
2019-09-20,60.4470
2019-09-19,66.6850
2019-09-18,67.5664
2019-09-17,66.2853
2019-09-16,62.4194
2019-09-13,61.7500
2019-09-12,55.9226
2019-09-11,61.4539
2019-09-10,54.1660
2019-09-09,51.3728
2019-09-06,49.2541
2019-09-05,46.0284
2019-09-04,42.9041
2019-09-03,46.3867
2019-08-30,50.6529
2019-08-29,50.8538
2019-08-28,51.6776
2019-08-27,49.8827
2019-08-26,56.0825
2019-08-23,54.4161
2019-08-22,60.0116
2019-08-21,52.8786
2019-08-20,49.6684
2019-08-19,51.8060
2019-08-16,54.2408
2019-08-15,51.7702
2019-08-14,44.8044
2019-08-13,53.7537
2019-08-12,49.9696
2019-08-09,47.3686
2019-08-08,49.1137
2019-08-07,45.2783
2019-08-06,41.7213
2019-08-05,39.1655
2019-08-02,37.3608
2019-08-01,33.4986
2019-07-31,35.5407
2019-07-30,47.2675
2019-07-29,38.9708
2019-07-26,44.8523
2019-07-25,44.4260
2019-07-24,49.5798
2019-07-23,58.8837
2019-07-22,62.3970
2019-07-19,65.2599
2019-07-18,59.4214
2019-07-17,62.0631
2019-07-16,59.0296
2019-07-15,60.8538
2019-07-12,61.7494
2019-07-11,51.8258
2019-07-10,46.2878
2019-07-09,42.5087
2019-07-08,43.3410
2019-07-05,43.8320
2019-07-03,41.7021
2019-07-02,39.5288
2019-07-01,43.4066
2019-06-28,41.3806
2019-06-27,49.7194
2019-06-26,57.7906
2019-06-25,57.8384
2019-06-24,64.2740
2019-06-21,64.7401
2019-06-20,64.4799
2019-06-19,59.5353
2019-06-18,67.7524
2019-06-17,59.5063
2019-06-14,58.7601
2019-06-13,60.2003
2019-06-12,59.9651
2019-06-11,54.7569
2019-06-10,58.1684
2019-06-07,58.0658
2019-06-06,55.1902
2019-06-05,52.5904
2019-06-04,49.9538
2019-06-03,45.7351
2019-05-31,42.0286
