Dates,TEMA Values
2021-01-04,230.4942
2020-12-31,232.5841
2020-12-30,233.4141
2020-12-29,233.9470
2020-12-28,234.5276
2020-12-24,235.1263
2020-12-23,235.5934
2020-12-22,235.7352
2020-12-21,235.9458
2020-12-18,236.0532
2020-12-17,236.0584
2020-12-16,235.8233
2020-12-15,234.9424
2020-12-14,233.4844
2020-12-11,231.9541
2020-12-10,230.0288
2020-12-09,227.3840
2020-12-08,224.7540
2020-12-07,221.2993
2020-12-04,217.3106
2020-12-03,213.6115
2020-12-02,209.0106
2020-12-01,205.6217
2020-11-30,203.2407
2020-11-27,200.9069
2020-11-25,197.6355
2020-11-24,193.9248
2020-11-23,189.7700
2020-11-20,186.0983
2020-11-19,183.5593
2020-11-18,180.0499
2020-11-17,176.5242
2020-11-16,171.8678
2020-11-13,167.7552
2020-11-12,165.1712
2020-11-11,163.6452
2020-11-10,161.3292
2020-11-09,158.0244
2020-11-06,155.5962
2020-11-05,155.6247
2020-11-04,155.7457
2020-11-03,156.5559
2020-11-02,157.1958
2020-10-30,158.5167
2020-10-29,160.4707
2020-10-28,162.1153
2020-10-27,163.9192
2020-10-26,165.0061
2020-10-23,165.5003
2020-10-22,165.2375
2020-10-21,164.7454
2020-10-20,164.8532
2020-10-19,164.5586
2020-10-16,164.2586
2020-10-15,163.9077
2020-10-14,163.9127
2020-10-13,164.0445
2020-10-12,164.3260
2020-10-09,163.9968
2020-10-08,163.6472
2020-10-07,163.1915
2020-10-06,163.1189
2020-10-05,163.6669
2020-10-02,162.8379
2020-10-01,162.3289
2020-09-30,161.8120
2020-09-29,161.5788
2020-09-28,161.5380
2020-09-25,161.1990
2020-09-24,162.0719
2020-09-23,164.2478
2020-09-22,165.9822
2020-09-21,167.1767
2020-09-18,168.5289
2020-09-17,169.4089
2020-09-16,169.5808
2020-09-15,169.7770
2020-09-14,170.4769
2020-09-11,171.0077
2020-09-10,172.2096
2020-09-09,173.8209
2020-09-08,175.1844
2020-09-04,176.6198
2020-09-03,176.9473
2020-09-02,177.5750
2020-09-01,177.5118
2020-08-31,177.7646
2020-08-28,178.0655
2020-08-27,177.8963
2020-08-26,177.9015
2020-08-25,178.1813
2020-08-24,178.1298
2020-08-21,177.6327
2020-08-20,178.4057
2020-08-19,178.9797
2020-08-18,179.6302
2020-08-17,180.2071
2020-08-14,180.6032
2020-08-13,180.2779
2020-08-12,180.3250
2020-08-11,180.2782
2020-08-10,179.6423
2020-08-07,179.0315
2020-08-06,179.5102
2020-08-05,179.7513
2020-08-04,179.7469
2020-08-03,180.8591
2020-07-31,182.3942
2020-07-30,184.5654
2020-07-29,186.4162
2020-07-28,187.9046
2020-07-27,188.9043
2020-07-24,190.0424
2020-07-23,190.8168
2020-07-22,191.3017
2020-07-21,191.3928
2020-07-20,191.6080
2020-07-17,192.3305
2020-07-16,192.9340
2020-07-15,193.1871
2020-07-14,192.3011
2020-07-13,192.2909
2020-07-10,192.7794
2020-07-09,192.9375
