Dates,PLUS_DM Values
2019-04-08,408.0206
2019-04-05,410.0710
2019-04-04,410.5611
2019-04-03,407.2044
2019-04-02,409.2507
2019-04-01,409.4128
2019-03-29,400.9475
2019-03-28,397.5439
2019-03-27,399.5416
2019-03-26,401.5493
2019-03-25,399.2580
2019-03-22,399.9391
2019-03-21,401.9489
2019-03-20,403.9687
2019-03-19,404.0061
2019-03-18,400.4412
2019-03-15,402.4534
2019-03-14,404.4758
2019-03-13,406.5083
2019-03-12,408.5511
2019-03-11,410.6041
2019-03-08,412.6675
2019-03-07,414.7412
2019-03-06,416.8253
2019-03-05,418.9199
2019-03-04,421.0250
2019-03-01,423.1407
2019-02-28,420.7615
2019-02-27,417.8796
2019-02-26,412.7844
2019-02-25,414.8587
2019-02-22,411.5937
2019-02-21,411.6388
2019-02-20,413.7073
2019-02-19,411.9580
2019-02-15,414.0281
2019-02-14,410.3860
2019-02-13,412.4482
2019-02-12,413.0386
2019-02-11,413.7596
2019-02-08,411.0584
2019-02-07,413.1240
2019-02-06,415.2000
2019-02-05,414.2296
2019-02-04,402.9507
2019-02-01,400.8053
2019-01-31,399.0935
2019-01-30,401.0990
2019-01-29,379.4906
2019-01-28,376.8904
2019-01-25,378.7843
2019-01-24,377.0155
2019-01-23,377.9525
2019-01-22,379.8518
2019-01-18,381.7606
2019-01-17,380.2748
2019-01-16,373.5620
2019-01-15,373.7935
2019-01-14,375.1787
2019-01-11,377.0640
2019-01-10,378.0859
2019-01-09,373.8659
2019-01-08,369.9337
2019-01-07,361.4793
2019-01-04,361.0983
2019-01-03,354.4161
2019-01-02,356.1971
2018-12-31,357.9870
2018-12-28,357.7252
2018-12-27,355.2354
2018-12-26,354.0416
2018-12-24,344.9899
2018-12-21,346.7235
2018-12-20,348.4658
2018-12-19,350.2169
2018-12-18,351.9768
2018-12-17,348.9857
2018-12-14,347.5104
2018-12-13,349.2567
2018-12-12,351.0117
2018-12-11,352.7756
