Dates,HT_TRENDLINE Values
2019-03-15,401.8042
2019-03-14,402.7210
2019-03-13,403.9781
2019-03-12,404.8340
2019-03-11,404.4855
2019-03-08,403.5569
2019-03-07,401.6724
2019-03-06,399.8339
2019-03-05,397.9771
2019-03-04,395.0272
2019-03-01,391.7685
2019-02-28,388.1958
2019-02-27,384.3442
2019-02-26,380.9226
2019-02-25,377.1825
2019-02-22,373.6180
2019-02-21,369.8932
2019-02-20,365.0765
2019-02-19,359.5350
2019-02-15,353.7392
2019-02-14,348.6307
2019-02-13,344.3839
2019-02-12,341.4849
2019-02-11,339.0047
2019-02-08,337.2120
2019-02-07,335.9437
2019-02-06,334.8281
2019-02-05,333.7060
2019-02-04,332.6268
2019-02-01,331.5060
2019-01-31,330.1891
2019-01-30,328.7552
2019-01-29,327.4471
2019-01-28,326.3907
2019-01-25,325.2926
2019-01-24,324.1432
2019-01-23,322.9634
2019-01-22,321.7570
2019-01-18,320.4361
2019-01-17,318.9945
2019-01-16,317.5900
2019-01-15,316.1744
2019-01-14,314.5979
2019-01-11,312.9654
2019-01-10,311.2550
2019-01-09,309.9464
2019-01-08,309.1360
2019-01-07,308.6681
2019-01-04,308.5149
2019-01-03,308.7237
2019-01-02,309.3611
2018-12-31,310.0954
2018-12-28,311.5192
2018-12-27,313.6583
2018-12-26,316.0249
2018-12-24,317.8806
2018-12-21,319.2567
2018-12-20,319.2669
2018-12-19,318.8954
2018-12-18,318.9304
2018-12-17,319.3319
2018-12-14,320.4791
2018-12-13,321.8687
2018-12-12,323.4055
2018-12-11,324.8466
