Dates,MINUS_DI Values
2020-09-01,24.3549
2020-08-31,24.1599
2020-08-28,24.1848
2020-08-27,24.2154
2020-08-26,24.6820
2020-08-25,24.6304
2020-08-24,25.0364
2020-08-21,25.5799
2020-08-20,25.7228
2020-08-19,25.3397
2020-08-18,25.5867
2020-08-17,25.3336
2020-08-14,25.4866
2020-08-13,25.8153
2020-08-12,26.0143
2020-08-11,25.3576
2020-08-10,25.8613
2020-08-07,26.3356
2020-08-06,26.1545
2020-08-05,26.3925
2020-08-04,26.8703
2020-08-03,27.1194
2020-07-31,27.1028
2020-07-30,26.6652
2020-07-29,26.6337
2020-07-28,26.0830
2020-07-27,26.1998
2020-07-24,25.6370
2020-07-23,25.6546
2020-07-22,25.9639
2020-07-21,26.0658
2020-07-20,26.4261
2020-07-17,25.9911
2020-07-16,25.9340
2020-07-15,25.7441
2020-07-14,26.1453
2020-07-13,26.3251
2020-07-10,26.7011
2020-07-09,26.6208
2020-07-08,26.5278
2020-07-07,26.2878
2020-07-06,26.2073
2020-07-02,26.5544
2020-07-01,26.8590
2020-06-30,27.2931
2020-06-29,27.8827
2020-06-26,28.9463
2020-06-25,28.9644
2020-06-24,28.3230
2020-06-23,27.6914
2020-06-22,27.9665
2020-06-19,27.8513
2020-06-18,28.0159
2020-06-17,27.8648
2020-06-16,27.9336
2020-06-15,28.6521
2020-06-12,29.3921
2020-06-11,30.3354
2020-06-10,27.2028
2020-06-09,25.5584
2020-06-08,25.3362
2020-06-05,26.5250
2020-06-04,28.0724
2020-06-03,28.8098
2020-06-02,29.8277
2020-06-01,30.0545
2020-05-29,30.5132
2020-05-28,29.9487
2020-05-27,30.3324
2020-05-26,30.7569
2020-05-22,31.1831
2020-05-21,31.3922
2020-05-20,31.9511
2020-05-19,32.2089
2020-05-18,32.5563
2020-05-15,33.4023
2020-05-14,33.6531
2020-05-13,33.2588
2020-05-12,32.6504
2020-05-11,32.6249
2020-05-08,32.3475
2020-05-07,32.6846
2020-05-06,33.1185
2020-05-05,32.8500
2020-05-04,33.2752
2020-05-01,32.4735
2020-04-30,32.9868
2020-04-29,33.1508
2020-04-28,33.9164
2020-04-27,34.3800
2020-04-24,34.0986
2020-04-23,33.4576
2020-04-22,33.8064
2020-04-21,33.9733
2020-04-20,33.3837
2020-04-17,33.5674
2020-04-16,34.4837
2020-04-15,35.0523
2020-04-14,34.8364
2020-04-13,34.5700
2020-04-09,34.5068
2020-04-08,35.0269
2020-04-07,35.6151
2020-04-06,36.8119
2020-04-03,38.0988
2020-04-02,38.5601
2020-04-01,38.0690
2020-03-31,36.4414
2020-03-30,37.0284
2020-03-27,36.0557
2020-03-26,35.6842
2020-03-25,37.1142
2020-03-24,39.7644
2020-03-23,41.1298
2020-03-20,42.4688
2020-03-19,43.3084
2020-03-18,44.1985
2020-03-17,44.7267
2020-03-16,42.6553
2020-03-13,40.0391
2020-03-12,41.7173
2020-03-11,38.4368
2020-03-10,36.2312
2020-03-09,36.0070
2020-03-06,33.4611
2020-03-05,32.3665
2020-03-04,30.1614
2020-03-03,30.5259
2020-03-02,31.8920
2020-02-28,33.2023
