Dates,MACDEXT Values
2019-11-27,-8.0737
2019-11-26,-5.7916
2019-11-25,-2.2821
2019-11-22,-6.7741
2019-11-21,-5.3017
2019-11-20,-1.4724
2019-11-19,-5.9182
2019-11-18,-4.8633
2019-11-15,-1.0549
2019-11-14,-5.6002
2019-11-13,-4.3744
2019-11-12,-1.2258
2019-11-11,-5.0811
2019-11-08,-3.7966
2019-11-07,-1.2845
2019-11-06,-5.1622
2019-11-05,-3.1887
2019-11-04,-1.9735
2019-11-01,-5.4772
2019-10-31,-2.4241
2019-10-30,-3.0532
2019-10-29,-5.4640
2019-10-28,-1.5195
2019-10-25,-3.9445
2019-10-24,-4.5738
2019-10-23,-0.5743
2019-10-22,-3.9995
2019-10-21,-3.6642
2019-10-18,0.3082
2019-10-17,-3.9723
2019-10-16,-2.8292
2019-10-15,1.0869
2019-10-14,-3.9160
2019-10-11,-1.5180
2019-10-10,1.7701
2019-10-09,-3.2881
2019-10-08,-0.3997
2019-10-07,2.2545
2019-10-04,-2.6541
2019-10-03,0.3900
2019-10-02,2.5654
2019-10-01,-2.1754
2019-09-30,1.7193
2019-09-27,2.6601
2019-09-26,-0.9408
2019-09-25,2.6642
2019-09-24,2.4111
2019-09-23,0.2530
2019-09-20,3.0425
2019-09-19,1.8294
2019-09-18,1.2131
2019-09-17,3.3686
2019-09-16,1.0066
2019-09-13,2.3620
2019-09-12,3.3442
2019-09-11,-0.0768
2019-09-10,3.4210
2019-09-09,3.3199
2019-09-06,-1.4212
2019-09-05,4.7411
2019-09-04,2.8412
2019-09-03,-3.0217
2019-08-30,5.8629
2019-08-29,2.3987
2019-08-28,-4.7544
2019-08-27,7.1531
2019-08-26,1.2420
2019-08-23,-6.5509
2019-08-22,7.7929
2019-08-21,-0.5212
2019-08-20,-8.2712
2019-08-19,7.7500
2019-08-16,-2.5711
2019-08-15,-9.8505
2019-08-14,7.2794
2019-08-13,-4.3629
2019-08-12,-11.1487
2019-08-09,6.7857
2019-08-08,-6.3819
2019-08-07,-12.1613
2019-08-06,5.7795
2019-08-05,-8.7558
2019-08-02,-12.8695
2019-08-01,4.1137
2019-07-31,-11.0847
2019-07-30,-13.2606
2019-07-29,2.1759
2019-07-26,-12.7524
2019-07-25,-13.3325
2019-07-24,0.5802
2019-07-23,-13.7700
2019-07-22,-13.0297
2019-07-19,-0.7403
2019-07-18,-14.2408
2019-07-17,-12.3171
2019-07-16,-1.9236
2019-07-15,-14.7351
2019-07-12,-11.1795
2019-07-11,-3.5557
2019-07-10,-14.2546
2019-07-09,-9.7027
2019-07-08,-4.5519
2019-07-05,-13.4769
2019-07-03,-8.1482
2019-07-02,-5.3287
2019-07-01,-12.7551
2019-06-28,-6.5734
2019-06-27,-6.1817
2019-06-26,-12.2760
2019-06-25,-4.9029
2019-06-24,-7.3731
2019-06-21,-11.7321
2019-06-20,-3.2262
2019-06-19,-8.5059
2019-06-18,-10.0268
2019-06-17,-1.5673
2019-06-14,-8.4595
2019-06-13,-7.3568
2019-06-12,-0.0867
2019-06-11,-7.2701
2019-06-10,-4.0017
2019-06-07,1.0640
2019-06-06,-5.0656
2019-06-05,-1.4440
2019-06-04,1.8051
2019-06-03,-3.2492
2019-05-31,-0.2647
2019-05-30,2.2122
2019-05-29,-2.4769
2019-05-28,0.6970
2019-05-24,2.4292
2019-05-23,-1.7322
2019-05-22,2.2787
2019-05-21,2.4074
2019-05-20,-0.1288
2019-05-17,2.8149
2019-05-16,1.9680
2019-05-15,0.8470
2019-05-14,3.1974
2019-05-13,1.2755
2019-05-10,1.9219
2019-05-09,3.2993
2019-05-08,0.3703
2019-05-07,2.9290
2019-05-06,2.9990
2019-05-03,-0.6600
2019-05-02,3.6590
2019-05-01,2.6688
2019-04-30,-1.7307
2019-04-29,4.3995
2019-04-26,2.2191
2019-04-25,-2.7861
2019-04-24,5.0052
2019-04-23,1.6886
2019-04-22,-3.7312
2019-04-18,5.4198
2019-04-17,0.5011
2019-04-16,-4.5070
2019-04-15,5.0081
2019-04-12,-1.6765
2019-04-11,-4.9774
2019-04-10,3.3009
2019-04-09,-3.4173
2019-04-08,-5.0164
2019-04-05,1.5991
2019-04-04,-4.9494
2019-04-03,-4.7004
2019-04-02,-0.2490
2019-04-01,-5.9733
2019-03-29,-4.0610
2019-03-28,-1.9124
2019-03-27,-6.6373
2019-03-26,-3.1104
2019-03-25,-3.5270
