Dates,APO Values
2020-02-10,0.5386
2020-02-07,-0.9683
2020-02-06,-2.0759
2020-02-05,-3.9331
2020-02-04,-5.0440
2020-02-03,-5.2135
2020-01-31,-5.1576
2020-01-30,-5.2410
2020-01-29,-5.7803
2020-01-28,-6.2551
2020-01-27,-6.2174
2020-01-24,-6.0829
2020-01-23,-6.4756
2020-01-22,-6.3503
2020-01-21,-5.2083
2020-01-17,-4.1173
2020-01-16,-3.7559
2020-01-15,-4.0345
2020-01-14,-4.1087
2020-01-13,-4.4018
2020-01-10,-4.4963
2020-01-09,-4.5211
2020-01-08,-5.1368
2020-01-07,-5.3450
2020-01-06,-6.1310
2020-01-03,-6.6869
2020-01-02,-7.1999
2019-12-31,-7.8066
2019-12-30,-7.7024
2019-12-27,-7.5220
2019-12-26,-7.5609
2019-12-24,-7.4783
2019-12-23,-7.5759
2019-12-20,-8.0507
2019-12-19,-7.5731
2019-12-18,-7.4100
2019-12-17,-6.8086
2019-12-16,-5.5695
2019-12-13,-3.9070
2019-12-12,-3.2129
2019-12-11,-2.7479
2019-12-10,-2.4900
2019-12-09,-1.9119
2019-12-06,-1.4814
2019-12-05,-1.2017
2019-12-04,0.0238
2019-12-03,1.2679
2019-12-02,2.5095
2019-11-29,3.7439
2019-11-27,4.1517
2019-11-26,4.4276
2019-11-25,4.1576
2019-11-22,3.7911
2019-11-21,3.4492
2019-11-20,3.4587
2019-11-19,2.9680
2019-11-18,2.6943
2019-11-15,2.0568
2019-11-14,0.9885
2019-11-13,0.0398
2019-11-12,-0.6718
2019-11-11,-1.6087
2019-11-08,-3.1941
2019-11-07,-3.5559
2019-11-06,-4.6045
2019-11-05,-5.3552
2019-11-04,-6.6480
2019-11-01,-7.4769
2019-10-31,-7.8324
2019-10-30,-7.6409
2019-10-29,-7.9041
2019-10-28,-8.4140
2019-10-25,-8.1323
2019-10-24,-7.5488
2019-10-23,-7.1693
2019-10-22,-6.1730
2019-10-21,-4.4593
2019-10-18,-1.6095
2019-10-17,0.7492
2019-10-16,1.2270
2019-10-15,1.4798
2019-10-14,1.9289
2019-10-11,2.2507
2019-10-10,2.4536
2019-10-09,3.0713
2019-10-08,3.4166
2019-10-07,3.8941
2019-10-04,4.2014
2019-10-03,4.6170
2019-10-02,5.4457
2019-10-01,6.8982
2019-09-30,7.8889
2019-09-27,8.4822
2019-09-26,8.8756
2019-09-25,8.8430
2019-09-24,8.7422
2019-09-23,8.9443
2019-09-20,9.5371
2019-09-19,9.9175
2019-09-18,9.7505
2019-09-17,9.1974
2019-09-16,8.5800
2019-09-13,8.2055
2019-09-12,7.5167
2019-09-11,6.9437
2019-09-10,5.3758
2019-09-09,4.6499
2019-09-06,4.7335
2019-09-05,4.3467
2019-09-04,4.0615
2019-09-03,4.0178
2019-08-30,4.1158
2019-08-29,3.2080
2019-08-28,2.1385
2019-08-27,1.0211
2019-08-26,0.1073
2019-08-23,-1.4943
2019-08-22,-3.2118
