Dates,EMA Values
2020-07-23,176.1215
2020-07-22,176.1081
2020-07-21,175.9578
2020-07-20,175.8488
2020-07-17,175.9071
2020-07-16,175.9172
2020-07-15,175.8036
2020-07-14,175.3082
2020-07-13,175.1183
2020-07-10,175.0966
2020-07-09,174.9602
2020-07-08,175.0288
2020-07-07,174.8226
2020-07-06,174.6570
2020-07-02,174.1160
2020-07-01,173.8428
2020-06-30,173.5784
2020-06-29,173.1816
2020-06-26,172.3119
2020-06-25,172.4059
2020-06-24,172.3049
2020-06-23,172.1259
2020-06-22,171.4829
2020-06-19,170.7875
2020-06-18,170.1249
2020-06-17,169.2202
2020-06-16,168.2684
2020-06-15,167.0643
2020-06-12,166.0898
2020-06-11,165.1338
2020-06-10,164.9352
2020-06-09,163.3648
2020-06-08,161.1862
2020-06-05,158.3571
2020-06-04,156.4357
2020-06-03,155.2984
2020-06-02,154.5694
2020-06-01,154.6208
2020-05-29,154.7527
2020-05-28,155.1160
2020-05-27,155.3322
2020-05-26,155.5694
2020-05-22,156.0119
2020-05-21,156.7662
2020-05-20,157.4914
2020-05-19,158.4780
2020-05-18,159.6224
2020-05-15,160.6094
2020-05-14,162.2669
2020-05-13,163.8892
2020-05-12,165.6194
2020-05-11,167.2684
2020-05-08,168.8340
2020-05-07,170.2787
2020-05-06,171.9778
2020-05-05,174.0234
2020-05-04,176.0081
2020-05-01,177.8263
2020-04-30,179.6409
2020-04-29,181.2173
2020-04-28,182.9404
2020-04-27,185.0482
2020-04-24,187.3489
2020-04-23,189.7313
2020-04-22,191.8534
2020-04-21,194.1752
2020-04-20,196.5362
2020-04-17,198.6965
2020-04-16,200.5208
2020-04-15,203.2262
2020-04-14,205.5627
2020-04-13,208.1980
2020-04-09,210.6824
2020-04-08,213.0841
2020-04-07,215.7867
2020-04-06,218.8156
2020-04-03,221.6746
2020-04-02,225.6400
2020-04-01,229.8184
2020-03-31,233.8641
2020-03-30,237.3222
2020-03-27,240.7933
2020-03-26,244.0094
2020-03-25,246.5995
2020-03-24,250.1860
2020-03-23,255.1863
2020-03-20,261.2910
