Dates,ROC Values
2019-06-26,0.4410
2019-06-25,-2.1538
2019-06-24,1.6210
2019-06-21,2.4820
2019-06-20,2.1720
2019-06-19,-1.0203
2019-06-18,-4.0313
2019-06-17,-9.8268
2019-06-14,-9.2440
2019-06-13,-10.2023
2019-06-12,-10.8536
2019-06-11,-7.8818
2019-06-10,-4.9639
2019-06-07,-4.9324
2019-06-06,-4.7803
2019-06-05,-5.3140
2019-06-04,-4.2936
2019-06-03,-8.5440
2019-05-31,-8.6579
2019-05-30,-5.7654
2019-05-29,-5.7634
2019-05-28,-5.8183
2019-05-24,-4.3773
2019-05-23,-6.5111
2019-05-22,-5.4828
2019-05-21,-9.7943
2019-05-20,-16.0228
2019-05-17,-15.4960
2019-05-16,-16.1610
2019-05-15,-19.1747
2019-05-14,-20.2592
2019-05-13,-22.9886
2019-05-10,-18.9181
2019-05-09,-18.2011
2019-05-08,-15.7040
2019-05-07,-16.3141
2019-05-06,-12.3688
2019-05-03,-9.8472
2019-05-02,-10.8528
2019-05-01,-9.4797
2019-04-30,-9.6371
2019-04-29,-7.5082
2019-04-26,-7.2556
2019-04-25,-6.7978
2019-04-24,-7.0529
2019-04-23,-7.6289
2019-04-22,-7.4043
2019-04-18,-7.0814
2019-04-17,-7.4955
2019-04-16,-3.3612
2019-04-15,-2.5981
2019-04-12,-1.0514
2019-04-11,-4.0448
2019-04-10,0.5155
2019-04-09,2.1880
2019-04-08,3.3552
2019-04-05,9.9500
2019-04-04,10.9472
2019-04-03,8.0445
2019-04-02,7.6774
2019-04-01,9.5898
2019-03-29,8.8890
2019-03-28,6.8417
2019-03-27,7.3490
2019-03-26,5.4856
2019-03-25,5.5951
2019-03-22,5.8683
2019-03-21,10.0021
2019-03-20,15.2259
2019-03-19,14.7499
2019-03-18,20.3500
2019-03-15,17.6345
2019-03-14,16.3390
2019-03-13,19.8094
2019-03-12,18.9740
2019-03-11,28.0664
2019-03-08,44.3715
2019-03-07,39.4527
2019-03-06,36.2763
2019-03-05,35.2845
2019-03-04,32.5625
2019-03-01,40.0863
2019-02-28,38.7267
2019-02-27,34.4666
2019-02-26,31.2971
2019-02-25,33.2283
2019-02-22,30.5962
2019-02-21,29.8490
