Dates,SAR Values
2017-09-19,221.8629
2017-09-18,220.8814
2017-09-15,220.2151
2017-09-14,219.8271
2017-09-13,219.6043
2017-09-12,219.5009
2017-09-11,219.3965
2017-09-08,219.2910
2017-09-07,219.1844
2017-09-06,219.0767
2017-09-05,218.9680
2017-09-01,218.8582
2017-08-31,228.8102
2017-08-30,229.0133
2017-08-29,229.2206
2017-08-28,229.4320
2017-08-25,229.6478
2017-08-24,229.8680
2017-08-23,230.0927
2017-08-22,230.3220
2017-08-21,230.5559
2017-08-18,230.7947
2017-08-17,231.0383
2017-08-16,231.2868
2017-08-15,231.5405
2017-08-14,231.7993
2017-08-11,232.0634
2017-08-10,232.1875
2017-08-09,221.0096
2017-08-08,219.3393
2017-08-07,217.4194
2017-08-04,215.2127
2017-08-03,212.6762
2017-08-02,209.7608
2017-08-01,206.4096
2017-07-31,202.5578
2017-07-28,199.0068
2017-07-27,194.9715
2017-07-26,191.8282
2017-07-25,190.7444
2017-07-24,189.7992
2017-07-21,188.9218
2017-07-20,188.1638
2017-07-19,187.4919
2017-07-18,186.9625
2017-07-17,186.4052
2017-07-14,185.9796
2017-07-13,185.6541
2017-07-12,185.3185
2017-07-11,185.1277
2017-07-10,185.0511
2017-07-07,192.1638
2017-07-06,192.2356
2017-07-05,192.3082
2017-07-03,192.3815
2017-06-30,192.4556
2017-06-29,192.5304
2017-06-28,184.3256
2017-06-27,183.0996
2017-06-26,181.6904
2017-06-23,180.4743
2017-06-22,179.3509
2017-06-21,178.0888
2017-06-20,176.6706
2017-06-19,175.4233
2017-06-16,174.3314
2017-06-15,173.4730
2017-06-14,172.8192
2017-06-13,172.3240
2017-06-12,171.7972
2017-06-09,171.2368
2017-06-08,170.6407
2017-06-07,170.0065
2017-06-06,169.3318
2017-06-05,168.6140
2017-06-02,167.8504
2017-06-01,167.3512
2017-05-31,166.8256
2017-05-30,166.4134
2017-05-26,165.9840
2017-05-25,165.6574
2017-05-24,165.4740
2017-05-23,165.3821
2017-05-22,165.2894
2017-05-19,174.7267
2017-05-18,174.9193
2017-05-17,174.9860
2017-05-16,168.9386
2017-05-15,168.4128
2017-05-12,167.8412
2017-05-11,167.8412
2017-05-10,167.8334
2017-05-09,167.2114
2017-05-08,166.6836
2017-05-05,166.2810
2017-05-04,165.9348
2017-05-03,165.5703
2017-05-02,165.1867
2017-05-01,164.7828
2017-04-28,164.3578
2017-04-27,164.0456
2017-04-26,163.7204
2017-04-25,163.3817
2017-04-24,163.1599
2017-04-21,163.0383
2017-04-20,162.9839
2017-04-19,162.9290
2017-04-18,162.8736
2017-04-17,162.8176
2017-04-13,162.7610
2017-04-12,162.7038
2017-04-11,162.6461
2017-04-10,162.5878
2017-04-07,162.5288
2017-04-06,162.4693
2017-04-05,162.4092
2017-04-04,167.6704
2017-04-03,168.0664
2017-03-31,168.4922
2017-03-30,168.9501
2017-03-29,169.4424
2017-03-28,169.9718
2017-03-27,170.5410
2017-03-24,170.9992
2017-03-23,171.3653
2017-03-22,171.7505
2017-03-21,172.0716
2017-03-20,172.2745
2017-03-17,172.4836
2017-03-16,172.6992
2017-03-15,172.9215
2017-03-14,173.1506
2017-03-13,173.3868
2017-03-10,173.5313
2017-03-09,173.5886
2017-03-08,168.6532
2017-03-07,167.7292
2017-03-06,166.5291
2017-03-03,165.0832
2017-03-02,163.3411
2017-03-01,161.5513
2017-02-28,160.0505
2017-02-27,158.7332
2017-02-24,157.4786
2017-02-23,156.3919
2017-02-22,155.3687
2017-02-21,154.2189
2017-02-17,153.3608
2017-02-16,152.7377
2017-02-15,152.2055
2017-02-14,151.7668
2017-02-13,151.2950
2017-02-10,150.8965
2017-02-09,150.4725
2017-02-08,150.0215
2017-02-07,149.5417
2017-02-06,149.0313
2017-02-03,149.0313
2017-02-02,148.5797
2017-02-01,148.0079
2017-01-31,147.3996
2017-01-30,146.7524
2017-01-27,146.0640
2017-01-26,145.3316
2017-01-25,144.7549
2017-01-24,144.5725
2017-01-23,144.4495
2017-01-20,144.3227
2017-01-19,144.2433
2017-01-18,144.1622
2017-01-17,144.0795
2017-01-13,143.9950
2017-01-12,143.9089
2017-01-11,143.8210
2017-01-10,143.7313
2017-01-09,143.6883
2017-01-06,143.6448
2017-01-05,143.6009
2017-01-04,147.9361
2017-01-03,148.0702
2016-12-30,148.2084
2016-12-29,148.2987
2016-12-28,148.3363
2016-12-27,144.4850
2016-12-23,143.9599
2016-12-22,143.3631
2016-12-21,142.6849
2016-12-20,141.9143
2016-12-19,141.8401
2016-12-16,141.3983
2016-12-15,140.4522
2016-12-14,139.3772
2016-12-13,138.1555
2016-12-12,137.1342
2016-12-09,136.2185
2016-12-08,135.3959
2016-12-07,134.7348
2016-12-06,134.1518
2016-12-05,133.5250
2016-12-02,132.9931
2016-12-01,132.4272
2016-11-30,131.8252
2016-11-29,131.3444
2016-11-28,130.9939
2016-11-25,130.6289
2016-11-23,130.2486
2016-11-22,129.9753
2016-11-21,129.6934
2016-11-18,129.4029
2016-11-17,129.1033
2016-11-16,128.7945
2016-11-15,128.4762
2016-11-14,128.1480
2016-11-11,127.9389
2016-11-10,127.7256
2016-11-09,127.6505
2016-11-08,134.3441
2016-11-07,134.4117
2016-11-04,134.4800
2016-11-03,127.7303
2016-11-02,126.9804
2016-11-01,126.1471
2016-10-31,125.2212
2016-10-28,124.1924
2016-10-27,123.0494
2016-10-26,121.9225
2016-10-25,121.3751
2016-10-24,120.8975
2016-10-21,120.5753
2016-10-20,120.2325
2016-10-19,119.8679
2016-10-18,119.5518
2016-10-17,119.2192
2016-10-14,118.8691
2016-10-13,118.5005
2016-10-12,118.1125
2016-10-11,117.7041
2016-10-10,117.2742
2016-10-07,116.9876
2016-10-06,116.6891
2016-10-05,116.4611
2016-10-04,116.3373
2016-10-03,116.2790
2016-09-30,116.2201
2016-09-29,116.1606
2016-09-28,121.8648
2016-09-27,122.1025
2016-09-26,122.3501
2016-09-23,122.6080
