Dates,KAMA Values
2019-01-23,344.6351
2019-01-22,344.0719
2019-01-18,343.2211
2019-01-17,337.2159
2019-01-16,330.4211
2019-01-15,328.7844
2019-01-14,326.7753
2019-01-11,324.4665
2019-01-10,320.8266
2019-01-09,316.2244
2019-01-08,311.6068
2019-01-07,309.3714
2019-01-04,309.0629
2019-01-03,308.9400
2019-01-02,309.2155
2018-12-31,309.1296
2018-12-28,309.0921
2018-12-27,309.1222
2018-12-26,309.1401
2018-12-24,309.2047
2018-12-21,312.7047
2018-12-20,313.8993
2018-12-19,314.5975
2018-12-18,314.9603
2018-12-17,314.4795
2018-12-14,315.3013
2018-12-13,315.6965
2018-12-12,315.6868
2018-12-11,315.6600
2018-12-10,315.6895
2018-12-07,315.6510
2018-12-06,315.6681
2018-12-04,315.4641
