Dates,MINUS_DM Values
2019-02-22,93.6975
2019-02-21,95.6097
2019-02-20,96.1324
2019-02-19,98.0943
2019-02-15,100.0962
2019-02-14,102.1390
2019-02-13,104.2234
2019-02-12,106.3504
2019-02-11,108.5209
2019-02-08,110.7356
2019-02-07,108.5207
2019-02-06,109.4169
2019-02-05,111.6499
2019-02-04,113.9285
2019-02-01,116.2536
2019-01-31,118.6261
2019-01-30,121.0470
2019-01-29,123.5174
2019-01-28,126.0381
2019-01-25,125.8042
2019-01-24,128.3716
2019-01-23,130.9914
2019-01-22,133.1094
2019-01-18,128.7956
2019-01-17,131.4240
2019-01-16,134.1062
2019-01-15,136.8430
2019-01-14,139.6357
2019-01-11,141.4145
2019-01-10,144.3005
2019-01-09,147.2454
2019-01-08,150.2505
2019-01-07,153.3168
2019-01-04,156.4457
2019-01-03,159.6385
2019-01-02,158.6227
2018-12-31,156.8622
2018-12-28,160.0635
2018-12-27,163.3301
2018-12-26,166.6634
2018-12-24,170.0647
2018-12-21,163.7682
2018-12-20,163.1540
2018-12-19,158.4518
2018-12-18,154.6452
2018-12-17,157.8012
2018-12-14,161.0216
2018-12-13,155.7672
2018-12-12,158.4632
2018-12-11,161.6972
2018-12-10,164.9971
