Dates,TRIMA Values
2020-06-01,303.7391
2020-05-29,305.1270
2020-05-28,306.4965
2020-05-27,307.8474
2020-05-26,309.1806
2020-05-22,310.4967
2020-05-21,311.7951
2020-05-20,313.0749
2020-05-19,314.3357
2020-05-18,315.5775
2020-05-15,316.7986
2020-05-14,318.0009
2020-05-13,319.1838
2020-05-12,320.3465
2020-05-11,321.4901
2020-05-08,322.6155
2020-05-07,323.7231
2020-05-06,324.8124
2020-05-05,325.8823
2020-05-04,326.9322
2020-05-01,327.9609
2020-04-30,328.9691
2020-04-29,329.9570
2020-04-28,330.9256
2020-04-27,331.8745
2020-04-24,332.8018
2020-04-23,333.7050
2020-04-22,334.5832
2020-04-21,335.4361
2020-04-20,336.2635
2020-04-17,337.0656
2020-04-16,337.8438
2020-04-15,338.5993
2020-04-14,339.3309
2020-04-13,340.0398
2020-04-09,340.7263
2020-04-08,341.3905
2020-04-07,342.0342
2020-04-06,342.6573
2020-04-03,343.2591
2020-04-02,343.8407
2020-04-01,344.4014
2020-03-31,344.9389
2020-03-30,345.4535
2020-03-27,345.9473
2020-03-26,346.4218
2020-03-25,346.8793
2020-03-24,347.3219
2020-03-23,347.7466
2020-03-20,348.1506
2020-03-19,348.5324
2020-03-18,348.8901
2020-03-17,349.2234
2020-03-16,349.5337
2020-03-13,349.8250
2020-03-12,350.0970
2020-03-11,350.3505
2020-03-10,350.5814
2020-03-09,350.7923
2020-03-06,350.9876
2020-03-05,351.1671
2020-03-04,351.3338
2020-03-03,351.4879
2020-03-02,351.6311
2020-02-28,351.7622
2020-02-27,351.8818
2020-02-26,351.9882
2020-02-25,352.0853
2020-02-24,352.1744
2020-02-21,352.2545
2020-02-20,352.3259
2020-02-19,352.3907
2020-02-18,352.4494
2020-02-14,352.5029
2020-02-13,352.5522
2020-02-12,352.5976
2020-02-11,352.6389
2020-02-10,352.6758
2020-02-07,352.7082
2020-02-06,352.7361
2020-02-05,352.7591
2020-02-04,352.7781
2020-02-03,352.7921
2020-01-31,352.8002
2020-01-30,352.8050
2020-01-29,352.8069
2020-01-28,352.8065
2020-01-27,352.8034
2020-01-24,352.7973
2020-01-23,352.7876
2020-01-22,352.7749
2020-01-21,352.7606
2020-01-17,352.7450
2020-01-16,352.7277
2020-01-15,352.7100
2020-01-14,352.6934
2020-01-13,352.6782
2020-01-10,352.6662
2020-01-09,352.6577
2020-01-08,352.6525
2020-01-07,352.6518
2020-01-06,352.6553
2020-01-03,352.6641
2020-01-02,352.6770
2019-12-31,352.6931
2019-12-30,352.7120
2019-12-27,352.7346
2019-12-26,352.7608
2019-12-24,352.7914
2019-12-23,352.8256
2019-12-20,352.8657
2019-12-19,352.9141
2019-12-18,352.9688
2019-12-17,353.0304
2019-12-16,353.0995
2019-12-13,353.1752
2019-12-12,353.2567
2019-12-11,353.3429
2019-12-10,353.4328
2019-12-09,353.5253
2019-12-06,353.6215
2019-12-05,353.7222
2019-12-04,353.8269
2019-12-03,353.9360
2019-12-02,354.0489
2019-11-29,354.1665
2019-11-27,354.2895
2019-11-26,354.4196
2019-11-25,354.5571
2019-11-22,354.7017
2019-11-21,354.8531
2019-11-20,355.0113
2019-11-19,355.1760
